ids,sentences
12.2.9.4,durbhikṣa-kara-pīḍitāḥ
12.2.10.1,śīta-vātātapa-prāvṛḍ-
12.2.10.2,himair anyonyataḥ prajāḥ
12.2.10.3,kṣut-tṛḍbhyāṁ vyādhibhiś caiva
12.2.10.4,santapsyante ca cintayā
12.2.11.1,triṁśad viṁśati varṣāṇi
12.2.11.2,paramāyuḥ kalau nṛṇām
12.2.12-16.1,kṣīyamāṇeṣu deheṣu
12.2.12-16.2,dehināṁ kali-doṣataḥ
12.2.12-16.3,varṇāśramavatāṁ dharme
12.2.12-16.4,naṣṭe veda-pathe nṛṇām
12.2.17.1,carācara-guror viṣṇor
12.2.17.2,īśvarasyākhilātmanaḥ
12.2.17.3,dharma-trāṇāya sādhūnāṁ
12.2.17.4,janma karmāpanuttaye
12.2.18.1,śambhala-grāma-mukhyasya
12.2.18.2,brāhmaṇasya mahātmanaḥ
12.2.18.3,bhavane viṣṇuyaśasaḥ
12.2.18.4,kalkiḥ prādurbhaviṣyati
12.2.19-20.1,aśvam āśu-gam āruhya
12.2.19-20.2,devadattaṁ jagat-patiḥ
12.2.19-20.3,asināsādhu-damanam
12.2.19-20.4,aṣṭaiśvarya-guṇānvitaḥ
12.2.21.1,atha teṣāṁ bhaviṣyanti
12.2.21.2,manāṁsi viśadāni vai
12.2.21.3,vāsudevāṅga-rāgāti-
12.2.21.4,puṇya-gandhānila-spṛśām
12.2.21.5,paura-jānapadānāṁ vai
12.2.21.6,hateṣv akhila-dasyuṣu
12.2.22.1,teṣāṁ prajā-visargaś ca
12.2.22.2,sthaviṣṭhaḥ sambhaviṣyati
12.2.22.3,vāsudeve bhagavati
12.2.22.4,sattva-mūrtau hṛdi sthite
12.2.23.1,yadāvatīrṇo bhagavān
12.2.23.2,kalkir dharma-patir hariḥ
12.2.23.3,kṛtaṁ bhaviṣyati tadā
12.2.23.4,prajā-sūtiś ca sāttvikī
12.2.24.1,yadā candraś ca sūryaś ca
12.2.24.2,tathā tiṣya-bṛhaspatī
12.2.24.3,eka-rāśau sameṣyanti
12.2.24.4,bhaviṣyati tadā kṛtam
12.2.25.1,ye ’tītā vartamānā ye
12.2.25.2,bhaviṣyanti ca pārthivāḥ
12.2.25.3,te ta uddeśataḥ proktā
12.2.25.4,vaṁśīyāḥ soma-sūryayoḥ
12.2.26.1,ārabhya bhavato janma
12.2.26.2,yāvan nandābhiṣecanam
12.2.26.3,etad varṣa-sahasraṁ tu
12.2.26.4,śataṁ pañcadaśottaram
12.2.27-28.1,saptarṣīṇāṁ tu yau pūrvau
12.2.27-28.2,dṛśyete uditau divi
12.2.27-28.3,tayos tu madhye nakṣatraṁ
12.2.27-28.4,dṛśyate yat samaṁ niśi
12.2.29.1,viṣṇor bhagavato bhānuḥ
12.2.29.2,kṛṣṇākhyo ’sau divaṁ gataḥ
12.2.29.3,tadāviśat kalir lokaṁ
12.2.29.4,pāpe yad ramate janaḥ
12.2.30.1,yāvat sa pāda-padmābhyāṁ
12.2.30.2,spṛśan āste ramā-patiḥ
12.2.30.3,tāvat kalir vai pṛthivīṁ
12.2.30.4,parākrantuṁ na cāśakat
12.2.31.1,yadā devarṣayaḥ sapta
12.2.31.2,maghāsu vicaranti hi
12.2.31.3,tadā pravṛttas tu kalir
12.2.31.4,dvādaśābda-śatātmakaḥ
12.2.32.1,yadā maghābhyo yāsyanti
12.2.32.2,pūrvāṣāḍhāṁ maharṣayaḥ
12.2.32.3,tadā nandāt prabhṛty eṣa
12.2.32.4,kalir vṛddhiṁ gamiṣyati
12.2.33.1,yasmin kṛṣṇo divaṁ yātas
12.2.33.2,tasminn eva tadāhani
12.2.33.3,pratipannaṁ kali-yugam
12.2.33.4,iti prāhuḥ purā-vidaḥ
12.2.34.1,divyābdānāṁ sahasrānte
12.2.34.2,caturthe tu punaḥ kṛtam
12.2.34.3,bhaviṣyati tadā nṝṇāṁ
12.2.34.4,mana ātma-prakāśakam
12.2.35.1,ity eṣa mānavo vaṁśo
12.2.35.2,yathā saṅkhyāyate bhuvi
12.2.35.3,tathā viṭ-śūdra-viprāṇāṁ
12.2.35.4,tās tā jñeyā yuge yuge
12.2.36.1,eteṣāṁ nāma-liṅgānāṁ
12.2.36.2,puruṣāṇāṁ mahātmanām
12.2.36.3,kathā-mātrāvaśiṣṭānāṁ
12.2.36.4,kīrtir eva sthitā bhuvi
12.2.37.1,devāpiḥ śāntanor bhrātā
12.2.37.2,maruś cekṣvāku-vaṁśa-jaḥ
12.2.37.3,kalāpa-grāma āsāte
12.2.37.4,mahā-yoga-balānvitau
12.2.38.1,tāv ihaitya kaler ante
12.2.38.2,vāsudevānuśikṣitau
12.2.38.3,varṇāśrama-yutaṁ dharmaṁ
12.2.38.4,pūrva-vat prathayiṣyataḥ
12.2.39.1,kṛtaṁ tretā dvāparaṁ ca
12.2.39.2,kaliś ceti catur-yugam
12.2.39.3,anena krama-yogena
12.2.39.4,bhuvi prāṇiṣu vartate
12.2.40.1,rājann ete mayā proktā
12.2.40.2,nara-devās tathāpare
12.2.40.3,bhūmau mamatvaṁ kṛtvānte
12.2.40.4,hitvemāṁ nidhanaṁ gatāḥ
12.2.41.1,kṛmi-viḍ-bhasma-saṁjñānte
12.2.41.2,rāja-nāmno ’pi yasya ca
12.2.41.3,bhūta-dhruk tat-kṛte svārthaṁ
12.2.41.4,kiṁ veda nirayo yataḥ
12.2.42.1,kathaṁ seyam akhaṇḍā bhūḥ
12.2.42.2,pūrvair me puruṣair dhṛtā
12.2.42.3,mat-putrasya ca pautrasya
12.2.42.4,mat-pūrvā vaṁśa-jasya vā
12.2.43.1,tejo-’b-anna-mayaṁ kāyaṁ
12.2.43.2,gṛhītvātmatayābudhāḥ
12.2.43.3,mahīṁ mamatayā cobhau
12.2.43.4,hitvānte ’darśanaṁ gatāḥ
12.2.44.1,ye ye bhū-patayo rājan
12.2.44.2,bhuñjate bhuvam ojasā
12.2.44.3,kālena te kṛtāḥ sarve
12.2.44.4,kathā-mātrāḥ kathāsu ca
12.3.1.1,śrī-śuka uvāca
12.3.2.1,kāma eṣa narendrāṇāṁ
12.3.2.2,moghaḥ syād viduṣām api
12.3.2.3,yena phenopame piṇḍe
12.3.2.4,ye ’ti-viśrambhitā nṛpāḥ
12.3.3-4.1,pūrvaṁ nirjitya ṣaḍ-vargaṁ
12.3.3-4.2,jeṣyāmo rāja-mantriṇaḥ
12.3.3-4.3,tataḥ saciva-paurāpta-
12.3.3-4.4,karīndrān asya kaṇṭakān
12.3.5.1,samudrāvaraṇāṁ jitvā
12.3.5.2,māṁ viśanty abdhim ojasā
12.3.5.3,kiyad ātma-jayasyaitan
12.3.5.4,muktir ātma-jaye phalam
12.3.6.1,yāṁ visṛjyaiva manavas
12.3.6.2,tat-sutāś ca kurūdvaha
12.3.6.3,gatā yathāgataṁ yuddhe
12.3.6.4,tāṁ māṁ jeṣyanty abuddhayaḥ
12.3.7.1,mat-kṛte pitṛ-putrāṇāṁ
12.3.7.2,bhrātṝṇāṁ cāpi vigrahaḥ
12.3.7.3,jāyate hy asatāṁ rājye
12.3.7.4,mamatā-baddha-cetasām
12.3.8.1,mamaiveyaṁ mahī kṛtsnā
12.3.8.2,na te mūḍheti vādinaḥ
12.3.8.3,spardhamānā mitho ghnanti
12.3.8.4,mriyante mat-kṛte nṛpāḥ
12.3.9-13.1,pṛthuḥ purūravā gādhir
12.3.9-13.2,nahuṣo bharato ’rjunaḥ
12.3.9-13.3,māndhātā sagaro rāmaḥ
12.3.9-13.4,khaṭvāṅgo dhundhuhā raghuḥ
12.3.14.1,kathā imās te kathitā mahīyasāṁ
12.3.14.2,vitāya lokeṣu yaśaḥ pareyuṣām
12.3.14.3,vijñāna-vairāgya-vivakṣayā vibho
12.3.14.4,vaco-vibhūtīr na tu pāramārthyam
12.3.15.1,yas tūttamaḥ-śloka-guṇānuvādaḥ
12.3.15.2,saṅgīyate ’bhīkṣṇam amaṅgala-ghnaḥ
12.3.15.3,tam eva nityaṁ śṛṇuyād abhīkṣṇaṁ
12.3.15.4,kṛṣṇe ’malāṁ bhaktim abhīpsamānaḥ
12.3.16.1,śrī-rājovāca
12.3.17.1,yugāni yuga-dharmāṁś ca
12.3.17.2,mānaṁ pralaya-kalpayoḥ
12.3.17.3,kālasyeśvara-rūpasya
12.3.17.4,gatiṁ viṣṇor mahātmanaḥ
12.3.18.1,śrī-śuka uvāca
12.3.19.1,santuṣṭāḥ karuṇā maitrāḥ
12.3.19.2,śāntā dāntās titikṣavaḥ
12.3.19.3,ātmārāmāḥ sama-dṛśaḥ
12.3.19.4,prāyaśaḥ śramaṇā janāḥ
12.3.20.1,tretāyāṁ dharma-pādānāṁ
12.3.20.2,turyāṁśo hīyate śanaiḥ
12.3.20.3,adharma-pādair anṛta-
12.3.20.4,hiṁṣāsantoṣa-vigrahaiḥ
12.3.21.1,tadā kriyā-tapo-niṣṭhā
12.3.21.2,nāti-hiṁsrā na lampaṭāḥ
12.3.21.3,trai-vargikās trayī-vṛddhā
12.3.21.4,varṇā brahmottarā nṛpa
12.3.22.1,tapaḥ-satya-dayā-dāneṣv
12.3.22.2,ardhaṁ hrasvati dvāpare
12.3.22.3,hiṁsātuṣṭy-anṛta-dveṣair
12.3.22.4,dharmasyādharma-lakṣaṇaiḥ
12.3.23.1,yaśasvino mahā-śīlāḥ
12.3.23.2,svādhyāyādhyayane ratāḥ
12.3.23.3,āḍhyāḥ kuṭumbino hṛṣṭā
12.3.23.4,varṇāḥ kṣatra-dvijottarāḥ
12.3.24.1,kalau tu dharma-pādānāṁ
12.3.24.2,turyāṁśo ’dharma-hetubhiḥ
12.3.24.3,edhamānaiḥ kṣīyamāṇo
12.3.24.4,hy ante so ’pi vinaṅkṣyati
12.3.25.1,tasmin lubdhā durācārā
12.3.25.2,nirdayāḥ śuṣka-vairiṇaḥ
12.3.25.3,durbhagā bhūri-tarṣāś ca
12.3.25.4,śūdra-dāsottarāḥ prajāḥ
12.3.26.1,sattvaṁ rajas tama iti
12.3.26.2,dṛśyante puruṣe guṇāḥ
12.3.26.3,kāla-sañcoditās te vai
12.3.26.4,parivartanta ātmani
12.3.27.1,prabhavanti yadā sattve
12.3.27.2,mano-buddhīndriyāṇi ca
12.3.27.3,tadā kṛta-yugaṁ vidyāj
12.3.27.4,jñāne tapasi yad ruciḥ
12.3.28.1,yadā karmasu kāmyeṣu
12.3.28.2,bhaktir yaśasi dehinām
12.3.28.3,tadā tretā rajo-vṛttir
12.3.28.4,iti jānīhi buddhiman
12.3.29.1,yadā lobhas tv asantoṣo
12.3.29.2,māno dambho ’tha matsaraḥ
12.3.29.3,karmaṇāṁ cāpi kāmyānāṁ
12.3.29.4,dvāparaṁ tad rajas-tamaḥ
12.3.30.1,yadā māyānṛtaṁ tandrā
12.3.30.2,nidrā hiṁsā viṣādanam
12.3.30.3,śoka-mohau bhayaṁ dainyaṁ
12.3.30.4,sa kalis tāmasaḥ smṛtaḥ
12.3.31.1,tasmāt kṣudra-dṛśo martyāḥ
12.3.31.2,kṣudra-bhāgyā mahāśanāḥ
12.3.31.3,kāmino vitta-hīnāś ca
12.3.31.4,svairiṇyaś ca striyo ’satīḥ
12.3.32.1,dasyūtkṛṣṭā janapadā
12.3.32.2,vedāḥ pāṣaṇḍa-dūṣitāḥ
12.3.32.3,rājānaś ca prajā-bhakṣāḥ
12.3.32.4,śiśnodara-parā dvijāḥ
12.3.33.1,avratā baṭavo ’śaucā
12.3.33.2,bhikṣavaś ca kuṭumbinaḥ
12.3.33.3,tapasvino grāma-vāsā
12.3.33.4,nyāsino ’tyartha-lolupāḥ
12.3.34.1,hrasva-kāyā mahāhārā
12.3.34.2,bhūry-apatyā gata-hriyaḥ
12.3.34.3,śaśvat kaṭuka-bhāṣiṇyaś
12.3.34.4,caurya-māyoru-sāhasāḥ
12.3.35.1,paṇayiṣyanti vai kṣudrāḥ
12.3.35.2,kirāṭāḥ kūṭa-kāriṇaḥ
12.3.35.3,anāpady api maṁsyante
12.3.35.4,vārtāṁ sādhu jugupsitām
12.3.36.1,patiṁ tyakṣyanti nirdravyaṁ
12.3.36.2,bhṛtyā apy akhilottamam
12.3.36.3,bhṛtyaṁ vipannaṁ patayaḥ
12.3.36.4,kaulaṁ gāś cāpayasvinīḥ
12.3.37.1,pitṛ-bhrātṛ-suhṛj-jñātīn
12.3.37.2,hitvā saurata-sauhṛdāḥ
12.3.37.3,nanāndṛ-śyāla-saṁvādā
12.3.37.4,dīnāḥ straiṇāḥ kalau narāḥ
12.3.38.1,śūdrāḥ pratigrahīṣyanti
12.3.38.2,tapo-veṣopajīvinaḥ
12.3.38.3,dharmaṁ vakṣyanty adharma-jñā
12.3.38.4,adhiruhyottamāsanam
12.3.39-40.1,nityam udvigna-manaso
12.3.39-40.2,durbhikṣa-kara-karśitāḥ
12.3.39-40.3,niranne bhū-tale rājan
12.3.39-40.4,anāvṛṣṭi-bhayāturāḥ
12.3.41.1,kalau kākiṇike ’py arthe
12.3.41.2,vigṛhya tyakta-sauhṛdāḥ
12.3.41.3,tyakṣyanti ca priyān prāṇān
12.3.41.4,haniṣyanti svakān api
12.3.42.1,na rakṣiṣyanti manujāḥ
12.3.42.2,sthavirau pitarāv api
12.3.42.3,putrān bhāryāṁ ca kula-jāṁ
12.3.42.4,kṣudrāḥ śiśnodaraṁ-bharāḥ
12.3.43.1,kalau na rājan jagatāṁ paraṁ guruṁ
12.3.43.2,tri-loka-nāthānata-pāda-paṅkajam
12.3.43.3,prāyeṇa martyā bhagavantam acyutaṁ
12.3.43.4,yakṣyanti pāṣaṇḍa-vibhinna-cetasaḥ
12.3.44.1,yan-nāmadheyaṁ mriyamāṇa āturaḥ
12.3.44.2,patan skhalan vā vivaśo gṛṇan pumān
12.3.44.3,vimukta-karmārgala uttamāṁ gatiṁ
12.3.44.4,prāpnoti yakṣyanti na taṁ kalau janāḥ
12.3.45.1,puṁsāṁ kali-kṛtān doṣān
12.3.45.2,dravya-deśātma-sambhavān
12.3.45.3,sarvān harati citta-stho
12.3.45.4,bhagavān puruṣottamaḥ
12.3.46.1,śrutaḥ saṅkīrtito dhyātaḥ
12.3.46.2,pūjitaś cādṛto ’pi vā
12.3.46.3,nṛṇāṁ dhunoti bhagavān
12.3.46.4,hṛt-stho janmāyutāśubham
12.3.47.1,yathā hemni sthito vahnir
12.3.47.2,durvarṇaṁ hanti dhātu-jam
12.3.47.3,evam ātma-gato viṣṇur
12.3.47.4,yoginām aśubhāśayam
12.3.48.1,vidyā-tapaḥ-prāṇa-nirodha-maitrī-
12.3.48.2,tīrthābhiṣeka-vrata-dāna-japyaiḥ
12.3.48.3,nātyanta-śuddhiṁ labhate ’ntarātmā
12.3.48.4,yathā hṛdi-sthe bhagavaty anante
12.3.49.1,tasmāt sarvātmanā rājan
12.3.49.2,hṛdi-sthaṁ kuru keśavam
12.3.49.3,mriyamāṇo hy avahitas
12.3.49.4,tato yāsi parāṁ gatim
12.3.50.1,mriyamāṇair abhidhyeyo
12.3.50.2,bhagavān parameśvaraḥ
12.3.50.3,ātma-bhāvaṁ nayaty aṅga
12.3.50.4,sarvātmā sarva-saṁśrayaḥ
12.3.51.1,kaler doṣa-nidhe rājann
12.3.51.2,asti hy eko mahān guṇaḥ
12.3.51.3,kīrtanād eva kṛṣṇasya
12.3.51.4,mukta-saṅgaḥ paraṁ vrajet
12.3.52.1,kṛte yad dhyāyato viṣṇuṁ
12.3.52.2,tretāyāṁ yajato makhaiḥ
12.3.52.3,dvāpare paricaryāyāṁ
12.3.52.4,kalau tad dhari-kīrtanāt
12.4.1.1,śrī-śuka uvāca
12.4.2.1,catur-yuga-sahasraṁ tu
12.4.2.2,brahmaṇo dinam ucyate
12.4.2.3,sa kalpo yatra manavaś
12.4.2.4,caturdaśa viśām-pate
12.4.3.1,tad-ante pralayas tāvān
12.4.3.2,brāhmī rātrir udāhṛtā
12.4.3.3,trayo lokā ime tatra
12.4.3.4,kalpante pralayāya hi
12.4.4.1,eṣa naimittikaḥ proktaḥ
12.4.4.2,pralayo yatra viśva-sṛk
12.4.4.3,śete ’nantāsano viśvam
12.4.4.4,ātmasāt-kṛtya cātma-bhūḥ
12.4.5.1,dvi-parārdhe tv atikrānte
12.4.5.2,brahmaṇaḥ parameṣṭhinaḥ
12.4.5.3,tadā prakṛtayaḥ sapta
12.4.5.4,kalpante pralayāya vai
12.4.6.1,eṣa prākṛtiko rājan
12.4.6.2,pralayo yatra līyate
12.4.6.3,aṇḍa-koṣas tu saṅghāto
12.4.6.4,vighāta upasādite
12.4.7.1,parjanyaḥ śata-varṣāṇi
12.4.7.2,bhūmau rājan na varṣati
12.4.7.3,tadā niranne hy anyonyaṁ
12.4.7.4,bhakṣyamāṇāḥ kṣudhārditāḥ
12.4.7.5,kṣayaṁ yāsyanti śanakaiḥ
12.4.7.6,kālenopadrutāḥ prajāḥ
12.4.8.1,sāmudraṁ daihikaṁ bhaumaṁ
12.4.8.2,rasaṁ sāṁvartako raviḥ
12.4.8.3,raśmibhiḥ pibate ghoraiḥ
12.4.8.4,sarvaṁ naiva vimuñcati
12.4.9.1,tataḥ saṁvartako vahniḥ
12.4.9.2,saṅkarṣaṇa-mukhotthitaḥ
12.4.9.3,dahaty anila-vegotthaḥ
12.4.9.4,śūnyān bhū-vivarān atha
12.4.10.1,upary adhaḥ samantāc ca
12.4.10.2,śikhābhir vahni-sūryayoḥ
12.4.10.3,dahyamānaṁ vibhāty aṇḍaṁ
12.4.10.4,dagdha-gomaya-piṇḍa-vat
12.4.11.1,tataḥ pracaṇḍa-pavano
12.4.11.2,varṣāṇām adhikaṁ śatam
12.4.11.3,paraḥ sāṁvartako vāti
12.4.11.4,dhūmraṁ khaṁ rajasāvṛtam
12.4.12.1,tato megha-kulāny aṅga
12.4.12.2,citra varṇāny anekaśaḥ
12.4.12.3,śataṁ varṣāṇi varṣanti
12.4.12.4,nadanti rabhasa-svanaiḥ
12.4.13.1,tata ekodakaṁ viśvaṁ
12.4.13.2,brahmāṇḍa-vivarāntaram
12.4.14.1,tadā bhūmer gandha-guṇaṁ
12.4.14.2,grasanty āpa uda-plave
12.4.14.3,grasta-gandhā tu pṛthivī
12.4.14.4,pralayatvāya kalpate
12.4.15-19.1,apāṁ rasam atho tejas
12.4.15-19.2,tā līyante ’tha nīrasāḥ
12.4.15-19.3,grasate tejaso rūpaṁ
12.4.15-19.4,vāyus tad-rahitaṁ tadā
12.4.20-21.1,na yatra vāco na mano na sattvaṁ
12.4.20-21.2,tamo rajo vā mahad-ādayo ’mī
12.4.20-21.3,na prāṇa-buddhīndriya-devatā vā
12.4.20-21.4,na sanniveśaḥ khalu loka-kalpaḥ
12.4.22.1,layaḥ prākṛtiko hy eṣa
12.4.22.2,puruṣāvyaktayor yadā
12.4.22.3,śaktayaḥ sampralīyante
12.4.22.4,vivaśāḥ kāla-vidrutāḥ
12.4.23.1,buddhīndriyārtha-rūpeṇa
12.4.23.2,jñānaṁ bhāti tad-āśrayam
12.4.23.3,dṛśyatvāvyatirekābhyām
12.4.23.4,ādy-antavad avastu yat
12.4.24.1,dīpaś cakṣuś ca rūpaṁ ca
12.4.24.2,jyotiṣo na pṛthag bhavet
12.4.24.3,evaṁ dhīḥ khāni mātrāś ca
12.4.24.4,na syur anyatamād ṛtāt
12.4.25.1,buddher jāgaraṇaṁ svapnaḥ
12.4.25.2,suṣuptir iti cocyate
12.4.25.3,māyā-mātram idaṁ rājan
12.4.25.4,nānātvaṁ pratyag-ātmani
12.4.26.1,yathā jala-dharā vyomni
12.4.26.2,bhavanti na bhavanti ca
12.4.26.3,brahmaṇīdaṁ tathā viśvam
12.4.26.4,avayavy udayāpyayāt
12.4.27.1,satyaṁ hy avayavaḥ proktaḥ
12.4.27.2,sarvāvayavinām iha
12.4.27.3,vinārthena pratīyeran
12.4.27.4,paṭasyevāṅga tantavaḥ
12.4.28.1,yat sāmānya-viśeṣābhyām
12.4.28.2,upalabhyeta sa bhramaḥ
12.4.28.3,anyonyāpāśrayāt sarvam
12.4.28.4,ādy-antavad avastu yat
12.4.29.1,vikāraḥ khyāyamāno ’pi
