ids,sentences
5.1.25.1,āgnīdhredhmajihva-yajñabāhu-mahāvīra-hiraṇyareto-ghṛtapṛṣṭha-savana-medhātithi-vītihotra-kavaya iti sarva evāgni-nāmānaḥ.
5.1.26.1,eteṣāṁ kavir mahāvīraḥ savana iti traya āsann ūrdhva-retasas ta ātma-vidyāyām arbha-bhāvād ārabhya kṛta-paricayāḥ pāramahaṁsyam evāśramam abhajan.
5.1.27.1,tasminn u ha vā upaśama-śīlāḥ paramarṣayaḥ sakala-jīva-nikāyāvāsasya bhagavato vāsudevasya bhītānāṁ śaraṇa-bhūtasya śrīmac-caraṇāravindāvirata-smaraṇāvigalita-parama-bhakti-yogānu-bhāvena paribhāvitāntar-hṛdayādhigate bhagavati sarveṣāṁ bhūtānām ātma-bhūte pratyag-ātmany evātmanas tādātmyam aviśeṣeṇa samīyuḥ.
5.1.28.1,anyasyām api jāyāyāṁ trayaḥ putrā āsann uttamas tāmaso raivata iti manvantarādhipatayaḥ.
5.1.29.1,evam upaśamāyaneṣu sva-tanayeṣv atha jagatī-patir jagatīm arbudāny ekādaśa parivatsarāṇām avyāhatākhila-puruṣa-kāra-sāra-sambhṛta-dor-daṇḍa-yugalāpīḍita-maurvī-guṇa-stanita-viramita-dharma-pratipakṣo barhiṣmatyāś cānudinam edhamāna-pramoda-prasaraṇa-yauṣiṇya-vrīḍā-pramuṣita-hāsāvaloka-rucira-kṣvely-ādibhiḥ parābhūyamāna-viveka ivānavabudhyamāna iva mahāmanā bubhuje.
5.1.30.1,yāvad avabhāsayati sura-girim anuparikrāman bhagavān ādityo vasudhā-talam ardhenaiva pratapaty ardhenāvacchādayati tadā hi bhagavad-upāsanopacitāti-puruṣa-prabhāvas tad anabhinandan samajavena rathena jyotirmayena rajanīm api dinaṁ kariṣyāmīti sapta-kṛt vastaraṇim anuparyakrāmad dvitīya iva pataṅgaḥ.
5.1.31.1,ye vā u ha tad-ratha-caraṇa-nemi-kṛta-parikhātās te sapta sindhava āsan yata eva kṛtāḥ sapta bhuvo dvīpāḥ.
5.1.32.1,jambū-plakṣa-śālmali-kuśa-krauñca-śāka-puṣkara-saṁjñās teṣāṁ parimāṇaṁ pūrvasmāt pūrvasmād uttara uttaro yathā-saṅkhyaṁ dvi-guṇa-mānena bahiḥ samantata upakḷptāḥ.
5.1.33.1,kṣārodekṣu-rasoda-suroda-ghṛtoda-kṣīroda-dadhi-maṇḍoda-śuddhodāḥ sapta jaladhayaḥ sapta dvīpa-parikhā ivābhyantara-dvīpa-samānā ekaikaśyena yathānupūrvaṁ saptasv api bahir dvīpeṣu pṛthak parita upakalpitās teṣu jambv-ādiṣu barhiṣmatī-patir anuvratānātmajān āgnīdhredhmajihva-yajñabāhu-hiraṇyareto-ghṛtapṛṣṭha-medhātithi-vītihotra-saṁjñān yathā-saṅkhyenaikaikasminn ekam evādhi-patiṁ vidadhe.
5.1.34.1,duhitaraṁ corjasvatīṁ nāmośanase prāyacchad yasyām āsīd devayānī nāma kāvya-sutā.
5.1.35.1,naivaṁ-vidhaḥ puruṣa-kāra urukramasya
5.1.35.2,puṁsāṁ tad-aṅghri-rajasā jita-ṣaḍ-guṇānām
5.1.35.3,citraṁ vidūra-vigataḥ sakṛd ādadīta
5.1.35.4,yan-nāmadheyam adhunā sa jahāti bandham
5.1.36.1,sa evam aparimita-bala-parākrama ekadā tu devarṣi-caraṇānuśayanānu-patita-guṇa-visarga-saṁsargeṇānirvṛtam ivātmānaṁ manyamāna ātma-nirveda idam āha.
5.1.37.1,aho asādhv anuṣṭhitaṁ yad abhiniveśito ’ham indriyair avidyā-racita-viṣama-viṣayāndha-kūpe tad alam alam amuṣyā vanitāyā vinoda-mṛgaṁ māṁ dhig dhig iti garhayāṁ cakāra.
5.1.38.1,para-devatā-prasādādhigatātma-pratyavamarśenānupravṛttebhyaḥ putrebhya imāṁ yathā-dāyaṁ vibhajya bhukta-bhogāṁ ca mahiṣīṁ mṛtakam iva saha mahā-vibhūtim apahāya svayaṁ nihita-nirvedo hṛdi gṛhīta-hari-vihārānubhāvo bhagavato nāradasya padavīṁ punar evānusasāra.
5.1.39.1,tasya ha vā ete ślokāḥ —
5.1.40.1,bhū-saṁsthānaṁ kṛtaṁ yena
5.1.40.2,sarid-giri-vanādibhiḥ
5.1.40.3,sīmā ca bhūta-nirvṛtyai
5.1.40.4,dvīpe dvīpe vibhāgaśaḥ
5.1.41.1,bhaumaṁ divyaṁ mānuṣaṁ ca
5.1.41.2,mahitvaṁ karma-yogajam
5.1.41.3,yaś cakre nirayaupamyaṁ
5.1.41.4,puruṣānujana-priyaḥ
5.2.1.1,śrī-śuka uvāca
5.2.2.1,sa ca kadācit pitṛloka-kāmaḥ sura-vara-vanitākrīḍācala-droṇyāṁ bhagavantaṁ viśva-sṛjāṁ patim ābhṛta-paricaryopakaraṇa ātmaikāgryeṇa tapasvy ārādhayāṁ babhūva.
5.2.3.1,tad upalabhya bhagavān ādi-puruṣaḥ sadasi gāyantīṁ pūrvacittiṁ nāmāpsarasam abhiyāpayām āsa.
5.2.4.1,sā ca tad-āśramopavanam ati-ramaṇīyaṁ vividha-nibiḍa-viṭapi-viṭapa-nikara-saṁśliṣṭa-puraṭa-latārūḍha-sthala-vihaṅgama-mithunaiḥ procyamāna-śrutibhiḥ pratibodhyamāna-salila-kukkuṭa-kāraṇḍava-kalahaṁsādibhir vicitram upakūjitāmala-jalāśaya-kamalākaram upababhrāma.
5.2.5.1,tasyāḥ sulalita-gamana-pada-vinyāsa-gati-vilāsāyāś cānupadaṁ khaṇa-khaṇāyamāna-rucira-caraṇābharaṇa-svanam upākarṇya naradeva-kumāraḥ samādhi-yogenāmīlita-nayana-nalina-mukula-yugalam īṣad vikacayya vyacaṣṭa.
5.2.6.1,tām evāvidūre madhukarīm iva sumanasa upajighrantīṁ divija-manuja-mano-nayanāhlāda-dughair gati-vihāra-vrīḍā-vinayāvaloka-susvarākṣarāvayavair manasi nṛṇāṁ kusumāyudhasya vidadhatīṁ vivaraṁ nija-mukha-vigalitāmṛtāsava-sahāsa-bhāṣaṇāmoda-madāndha-madhukara-nikaroparodhena druta-pada-vinyāsena valgu-spandana-stana-kalaśa-kabara-bhāra-raśanāṁ devīṁ tad-avalokanena vivṛtāvasarasya bhagavato makara-dhvajasya vaśam upanīto jaḍavad iti hovāca.
5.2.7.1,kā tvaṁ cikīrṣasi ca kiṁ muni-varya śaile
5.2.7.2,māyāsi kāpi bhagavat-para-devatāyāḥ
5.2.7.3,vijye bibharṣi dhanuṣī suhṛd-ātmano ’rthe
5.2.7.4,kiṁ vā mṛgān mṛgayase vipine pramattān
5.2.8.1,bāṇāv imau bhagavataḥ śata-patra-patrau
5.2.8.2,śāntāv apuṅkha-rucirāv ati-tigma-dantau
5.2.8.3,kasmai yuyuṅkṣasi vane vicaran na vidmaḥ
5.2.8.4,kṣemāya no jaḍa-dhiyāṁ tava vikramo ’stu
5.2.9.1,śiṣyā ime bhagavataḥ paritaḥ paṭhanti
5.2.9.2,gāyanti sāma sarahasyam ajasram īśam
5.2.9.3,yuṣmac-chikhā-vilulitāḥ sumano ’bhivṛṣṭīḥ
5.2.9.4,sarve bhajanty ṛṣi-gaṇā iva veda-śākhāḥ
5.2.10.1,vācaṁ paraṁ caraṇa-pañjara-tittirīṇāṁ
5.2.10.2,brahmann arūpa-mukharāṁ śṛṇavāma tubhyam
5.2.10.3,labdhā kadamba-rucir aṅka-viṭaṅka-bimbe
5.2.10.4,yasyām alāta-paridhiḥ kva ca valkalaṁ te
5.2.11.1,kiṁ sambhṛtaṁ rucirayor dvija śṛṅgayos te
5.2.11.2,madhye kṛśo vahasi yatra dṛśiḥ śritā me
5.2.11.3,paṅko ’ruṇaḥ surabhīr ātma-viṣāṇa īdṛg
5.2.11.4,yenāśramaṁ subhaga me surabhī-karoṣi
5.2.12.1,lokaṁ pradarśaya suhṛttama tāvakaṁ me
5.2.12.2,yatratya ittham urasāvayavāv apūrvau
5.2.12.3,asmad-vidhasya mana-unnayanau bibharti
5.2.12.4,bahv adbhutaṁ sarasa-rāsa-sudhādi vaktre
5.2.13.1,kā vātma-vṛttir adanād dhavir aṅga vāti
5.2.13.2,viṣṇoḥ kalāsy animiṣonmakarau ca karṇau
5.2.13.3,udvigna-mīna-yugalaṁ dvija-paṅkti-śocir
5.2.13.4,āsanna-bhṛṅga-nikaraṁ sara in mukhaṁ te
5.2.14.1,yo ’sau tvayā kara-saroja-hataḥ pataṅgo
5.2.14.2,dikṣu bhraman bhramata ejayate ’kṣiṇī me
5.2.14.3,muktaṁ na te smarasi vakra-jaṭā-varūthaṁ
5.2.14.4,kaṣṭo ’nilo harati lampaṭa eṣa nīvīm
5.2.15.1,rūpaṁ tapodhana tapaś caratāṁ tapoghnaṁ
5.2.15.2,hy etat tu kena tapasā bhavatopalabdham
5.2.15.3,cartuṁ tapo ’rhasi mayā saha mitra mahyaṁ
5.2.15.4,kiṁ vā prasīdati sa vai bhava-bhāvano me
5.2.16.1,na tvāṁ tyajāmi dayitaṁ dvija-deva-dattaṁ
5.2.16.2,yasmin mano dṛg api no na viyāti lagnam
5.2.16.3,māṁ cāru-śṛṅgy arhasi netum anuvrataṁ te
5.2.16.4,cittaṁ yataḥ pratisarantu śivāḥ sacivyaḥ
5.2.17.1,śrī-śuka uvāca
5.2.18.1,sā ca tatas tasya vīra-yūtha-pater buddhi-śīla-rūpa-vayaḥ-śriyaudāryeṇa parākṣipta-manās tena sahāyutāyuta-parivatsaropalakṣaṇaṁ kālaṁ jambūdvīpa-patinā bhauma-svarga-bhogān bubhuje.
5.2.19.1,tasyām u ha vā ātmajān sa rāja-vara āgnīdhro nābhi-kimpuruṣa-harivarṣelāvṛta-ramyaka-hiraṇmaya-kuru-bhadrāśva-ketumāla-saṁjñān nava putrān ajanayat.
5.2.20.1,sā sūtvātha sutān navānuvatsaraṁ gṛha evāpahāya pūrvacittir bhūya evājaṁ devam upatasthe.
5.2.21.1,āgnīdhra-sutās te mātur anugrahād autpattikenaiva saṁhanana-balopetāḥ pitrā vibhaktā ātma-tulya-nāmāni yathā-bhāgaṁ jambūdvīpa-varṣāṇi bubhujuḥ.
5.2.22.1,āgnīdhro rājātṛptaḥ kāmānām apsarasam evānudinam adhi-manyamānas tasyāḥ salokatāṁ śrutibhir avārundha yatra pitaro mādayante.
5.2.23.1,samparete pitari nava bhrātaro meru-duhitṝr merudevīṁ pratirūpām ugradaṁṣṭrīṁ latāṁ ramyāṁ śyāmāṁ nārīṁ bhadrāṁ devavītim iti saṁjñā navodavahan.
5.3.1.1,śrī-śuka uvāca
5.3.2.1,tasya ha vāva śraddhayā viśuddha-bhāvena yajataḥ pravargyeṣu pracaratsu dravya-deśa-kāla-mantrartvig-dakṣiṇā-vidhāna-yogopapattyā duradhigamo ’pi bhagavān bhāgavata-vātsalyatayā supratīka ātmānam aparājitaṁ nija-janābhipretārtha-vidhitsayā gṛhīta-hṛdayo hṛdayaṅgamaṁ mano-nayanānandanāvayavābhirāmam āviścakāra.
5.3.3.1,atha ha tam āviṣkṛta-bhuja-yugala-dvayaṁ hiraṇmayaṁ puruṣa-viśeṣaṁ kapiśa-kauśeyāmbara-dharam urasi vilasac-chrīvatsa-lalāmaṁ daravara-vanaruha-vana-mālācchūry-amṛta-maṇi-gadādibhir upalakṣitaṁ sphuṭa-kiraṇa-pravara-mukuṭa-kuṇḍala-kaṭaka-kaṭi-sūtra-hāra-keyūra-nūpurādy-aṅga-bhūṣaṇa-vibhūṣitam ṛtvik-sadasya-gṛha-patayo ’dhanā ivottama-dhanam upalabhya sabahu-mānam arhaṇenāvanata-śīrṣāṇa upatasthuḥ.
5.3.4-5.1,ṛtvija ūcuḥ
5.3.6.1,parijanānurāga-viracita-śabala-saṁśabda-salila-sita-kisalaya-tulasikā-dūrvāṅkurair api sambhṛtayā saparyayā kila parama parituṣyasi.
5.3.7.1,athānayāpi na bhavata ijyayoru-bhāra-bharayā samucitam artham ihopalabhāmahe.
5.3.8.1,ātmana evānusavanam añjasāvyatirekeṇa bobhūyamānāśeṣa-puruṣārtha-svarūpasya kintu nāthāśiṣa āśāsānānām etad abhisaṁrādhana-mātraṁ bhavitum arhati.
5.3.9.1,tad yathā bāliśānāṁ svayam ātmanaḥ śreyaḥ param aviduṣāṁ parama-parama-puruṣa prakarṣa-karuṇayā sva-mahimānaṁ cāpavargākhyam upakalpayiṣyan svayaṁ nāpacita evetaravad ihopalakṣitaḥ.
5.3.10.1,athāyam eva varo hy arhattama yarhi barhiṣi rājarṣer varadarṣabho bhavān nija-puruṣekṣaṇa-viṣaya āsīt.
5.3.11.1,asaṅga-niśita-jñānānala-vidhūtāśeṣa-malānāṁ bhavat-svabhāvānām ātmārāmāṇāṁ munīnām anavarata-pariguṇita-guṇa-gaṇa parama-maṅgalāyana-guṇa-gaṇa-kathano ’si.
5.3.12.1,atha kathañcit skhalana-kṣut-patana-jṛmbhaṇa-duravasthānādiṣu vivaśānāṁ naḥ smaraṇāya jvara-maraṇa-daśāyām api sakala-kaśmala-nirasanāni tava guṇa-kṛta-nāmadheyāni vacana-gocarāṇi bhavantu.
5.3.13.1,kiñcāyaṁ rājarṣir apatya-kāmaḥ prajāṁ bhavādṛśīm āśāsāna īśvaram āśiṣāṁ svargāpavargayor api bhavantam upadhāvati prajāyām artha-pratyayo dhanadam ivādhanaḥ phalīkaraṇam.
5.3.14.1,ko vā iha te ’parājito ’parājitayā māyayānavasita-padavyānāvṛta-matir viṣaya-viṣa-rayānāvṛta-prakṛtir anupāsita-mahac-caraṇaḥ.
5.3.15.1,yad u ha vāva tava punar adabhra-kartar iha samāhūtas tatrārtha-dhiyāṁ mandānāṁ nas tad yad deva-helanaṁ deva-devārhasi sāmyena sarvān prativoḍhum aviduṣām.
5.3.16.1,śrī-śuka uvāca
5.3.17.1,śrī-bhagavān uvāca
5.3.18.1,tata āgnīdhrīye ’ṁśa-kalayāvatariṣyāmy ātma-tulyam anupalabhamānaḥ.
5.3.19.1,śrī-śuka uvāca
5.3.20.1,barhiṣi tasminn eva viṣṇudatta bhagavān paramarṣibhiḥ prasādito nābheḥ priya-cikīrṣayā tad-avarodhāyane merudevyāṁ dharmān darśayitu-kāmo vāta-raśanānāṁ śramaṇānām ṛṣīṇām ūrdhva-manthināṁ śuklayā tanuvāvatatāra.
5.4.1.1,śrī-śuka uvāca
5.4.2.1,tasya ha vā itthaṁ varṣmaṇā varīyasā bṛhac-chlokena caujasā balena śriyā yaśasā vīrya-śauryābhyāṁ ca pitā ṛṣabha itīdaṁ nāma cakāra.
5.4.3.1,yasya hīndraḥ spardhamāno bhagavān varṣe na vavarṣa tad avadhārya bhagavān ṛṣabhadevo yogeśvaraḥ prahasyātma-yogamāyayā sva-varṣam ajanābhaṁ nāmābhyavarṣat.
5.4.4.1,nābhis tu yathābhilaṣitaṁ suprajastvam avarudhyāti-pramoda-bhara-vihvalo gadgadākṣarayā girā svairaṁ gṛhīta-naraloka-sadharmaṁ bhagavantaṁ purāṇa-puruṣaṁ māyā-vilasita-matir vatsa tāteti sānurāgam upalālayan parāṁ nirvṛtim upagataḥ.
5.4.5.1,viditānurāgam āpaura-prakṛti jana-pado rājā nābhir ātmajaṁ samaya-setu-rakṣāyām abhiṣicya brāhmaṇeṣūpanidhāya saha merudevyā viśālāyāṁ prasanna-nipuṇena tapasā samādhi-yogena nara-nārāyaṇākhyaṁ bhagavantaṁ vāsudevam upāsīnaḥ kālena tan-mahimānam avāpa.
5.4.6.1,yasya ha pāṇḍaveya ślokāv udāharanti —
5.4.7.1,brahmaṇyo ’nyaḥ kuto nābher
5.4.7.2,viprā maṅgala-pūjitāḥ
5.4.7.3,yasya barhiṣi yajñeśaṁ
5.4.7.4,darśayām āsur ojasā
5.4.8.1,atha ha bhagavān ṛṣabhadevaḥ sva-varṣaṁ karma-kṣetram anumanyamānaḥ pradarśita-gurukula-vāso labdha-varair gurubhir anujñāto gṛhamedhināṁ dharmān anuśikṣamāṇo jayantyām indra-dattāyām ubhaya-lakṣaṇaṁ karma samāmnāyāmnātam abhiyuñjann ātmajānām ātma-samānānāṁ śataṁ janayām āsa.
5.4.9.1,yeṣāṁ khalu mahā-yogī bharato jyeṣṭhaḥ śreṣṭha-guṇa āsīd yenedaṁ varṣaṁ bhāratam iti vyapadiśanti.
5.4.10.1,tam anu kuśāvarta ilāvarto brahmāvarto malayaḥ ketur bhadrasena indraspṛg vidarbhaḥ kīkaṭa iti nava navati pradhānāḥ.
5.4.11-12.1,kavir havir antarikṣaḥ
5.4.11-12.2,prabuddhaḥ pippalāyanaḥ
5.4.11-12.3,āvirhotro ’tha drumilaś
5.4.11-12.4,camasaḥ karabhājanaḥ
5.4.13.1,yavīyāṁsa ekāśītir jāyanteyāḥ pitur ādeśakarā mahā-śālīnā mahā-śrotriyā yajña-śīlāḥ karma-viśuddhā brāhmaṇā babhūvuḥ.
5.4.14.1,bhagavān ṛṣabha-saṁjña ātma-tantraḥ svayaṁ nitya-nivṛttānartha-paramparaḥ kevalānandānubhava īśvara eva viparītavat karmāṇy ārabhamāṇaḥ kālenānugataṁ dharmam ācaraṇenopaśikṣayann atad-vidāṁ sama upaśānto maitraḥ kāruṇiko dharmārtha-yaśaḥ-prajānandāmṛtāvarodhena gṛheṣu lokaṁ niyamayat.
5.4.15.1,yad yac chīrṣaṇyācaritaṁ tat tad anuvartate lokaḥ.
5.4.16.1,yadyapi sva-viditaṁ sakala-dharmaṁ brāhmaṁ guhyaṁ brāhmaṇair darśita-mārgeṇa sāmādibhir upāyair janatām anuśaśāsa.
5.4.17.1,dravya-deśa-kāla-vayaḥ-śraddhartvig-vividhoddeśopacitaiḥ sarvair api kratubhir yathopadeśaṁ śata-kṛtva iyāja.
5.4.18.1,bhagavatarṣabheṇa parirakṣyamāṇa etasmin varṣe na kaścana puruṣo vāñchaty avidyamānam ivātmano ’nyasmāt kathañcana kimapi karhicid avekṣate bhartary anusavanaṁ vijṛmbhita-snehātiśayam antareṇa.
5.4.19.1,sa kadācid aṭamāno bhagavān ṛṣabho brahmāvarta-gato brahmarṣi-pravara-sabhāyāṁ prajānāṁ niśāmayantīnām ātmajān avahitātmanaḥ praśraya-praṇaya-bhara-suyantritān apy upaśikṣayann iti hovāca.
5.5.1.1,ṛṣabha uvāca
5.5.2.1,mahat-sevāṁ dvāram āhur vimuktes
5.5.2.2,tamo-dvāraṁ yoṣitāṁ saṅgi-saṅgam
5.5.2.3,mahāntas te sama-cittāḥ praśāntā
5.5.2.4,vimanyavaḥ suhṛdaḥ sādhavo ye
5.5.3.1,ye vā mayīśe kṛta-sauhṛdārthā
5.5.3.2,janeṣu dehambhara-vārtikeṣu
5.5.3.3,gṛheṣu jāyātmaja-rātimatsu
5.5.3.4,na prīti-yuktā yāvad-arthāś ca loke
5.5.4.1,nūnaṁ pramattaḥ kurute vikarma
5.5.4.2,yad indriya-prītaya āpṛṇoti
5.5.4.3,na sādhu manye yata ātmano ’yam
5.5.4.4,asann api kleśada āsa dehaḥ
5.5.5.1,parābhavas tāvad abodha-jāto
5.5.5.2,yāvan na jijñāsata ātma-tattvam
5.5.5.3,yāvat kriyās tāvad idaṁ mano vai
5.5.5.4,karmātmakaṁ yena śarīra-bandhaḥ
5.5.6.1,evaṁ manaḥ karma-vaśaṁ prayuṅkte
5.5.6.2,avidyayātmany upadhīyamāne
5.5.6.3,prītir na yāvan mayi vāsudeve
5.5.6.4,na mucyate deha-yogena tāvat
5.5.7.1,yadā na paśyaty ayathā guṇehāṁ
5.5.7.2,svārthe pramattaḥ sahasā vipaścit
5.5.7.3,gata-smṛtir vindati tatra tāpān
5.5.7.4,āsādya maithunyam agāram ajñaḥ
5.5.8.1,puṁsaḥ striyā mithunī-bhāvam etaṁ
5.5.8.2,tayor mitho hṛdaya-granthim āhuḥ
5.5.8.3,ato gṛha-kṣetra-sutāpta-vittair
5.5.8.4,janasya moho ’yam ahaṁ mameti
5.5.9.1,yadā mano-hṛdaya-granthir asya
5.5.9.2,karmānubaddho dṛḍha āślatheta
5.5.9.3,tadā janaḥ samparivartate ’smād
5.5.9.4,muktaḥ paraṁ yāty atihāya hetum
5.5.10-13.1,haṁse gurau mayi bhaktyānuvṛtyā
5.5.10-13.2,vitṛṣṇayā dvandva-titikṣayā ca
5.5.10-13.3,sarvatra jantor vyasanāvagatyā
5.5.10-13.4,jijñāsayā tapasehā-nivṛttyā
5.5.14.1,karmāśayaṁ hṛdaya-granthi-bandham
5.5.14.2,avidyayāsāditam apramattaḥ
5.5.14.3,anena yogena yathopadeśaṁ
5.5.14.4,samyag vyapohyoparameta yogāt
5.5.15.1,putrāṁś ca śiṣyāṁś ca nṛpo gurur vā
5.5.15.2,mal-loka-kāmo mad-anugrahārthaḥ
5.5.15.3,itthaṁ vimanyur anuśiṣyād ataj-jñān
5.5.15.4,na yojayet karmasu karma-mūḍhān
5.5.15.5,kaṁ yojayan manujo ’rthaṁ labheta
5.5.15.6,nipātayan naṣṭa-dṛśaṁ hi garte
5.5.16.1,lokaḥ svayaṁ śreyasi naṣṭa-dṛṣṭir
5.5.16.2,yo ’rthān samīheta nikāma-kāmaḥ
5.5.16.3,anyonya-vairaḥ sukha-leśa-hetor
5.5.16.4,ananta-duḥkhaṁ ca na veda mūḍhaḥ
5.5.17.1,kas taṁ svayaṁ tad-abhijño vipaścid
5.5.17.2,avidyāyām antare vartamānam
5.5.17.3,dṛṣṭvā punas taṁ saghṛṇaḥ kubuddhiṁ
5.5.17.4,prayojayed utpathagaṁ yathāndham
5.5.18.1,gurur na sa syāt sva-jano na sa syāt
5.5.18.2,pitā na sa syāj jananī na sā syāt
5.5.18.3,daivaṁ na tat syān na patiś ca sa syān
5.5.18.4,na mocayed yaḥ samupeta-mṛtyum
5.5.19.1,idaṁ śarīraṁ mama durvibhāvyaṁ
5.5.19.2,sattvaṁ hi me hṛdayaṁ yatra dharmaḥ
5.5.19.3,pṛṣṭhe kṛto me yad adharma ārād
5.5.19.4,ato hi mām ṛṣabhaṁ prāhur āryāḥ
5.5.20.1,tasmād bhavanto hṛdayena jātāḥ
5.5.20.2,sarve mahīyāṁsam amuṁ sanābham
5.5.20.3,akliṣṭa-buddhyā bharataṁ bhajadhvaṁ
