,source,target,prediction,origin
28,bhogaisvarya-prasaktanam tayapahrta-cetasam,bhogaiśvarya-prasaktānāṁ tayāpahṛta-cetasām,bhogaiśvarya-prasaktanaṁ tayapaḥrta-cetasaṁ,pdf
29,vyavasayatmika buddhih samadhau na vidhiyate,vyavasāyātmikā buddhiḥ samādhau na vidhīyate,vyavasayatmika buddhiḥ samadhau na vidhiyate,pdf
30,karmany evadhikaras te ma phalesu kadacana,karmaṇy evādhikāras te mā phaleṣu kadācana,karmaṇy evadhikaras te ma phaleṣu kadacana,pdf
31,ma karma-phala-hetur bhur ma te sango 'stv akarmani,mā karma-phala-hetur bhūr mā te saṅgo ’stv akarmaṇi,ma karma-phala-hetur bhur ma te sango ’stv akarmaṇi,pdf
32,visaya vinivartante niraharasya dehinah,viṣayā vinivartante nirāhārasya dehinaḥ,viśaya vinivartante niraḥarasya dehinaḥ,pdf
33,rasa-varjam raso 'py asya param drstva nirvartate,rasa-varjaṁ raso ’py asya paraṁ dṛṣṭvā nivartate,rasa-varjam raso ’py asya param drṣṭva nirvartate,pdf
34,tani sarvani samyamya yukta asita mat-parah,tāni sarvāṇi saṁyamya yukta āsīta mat-paraḥ,tani sarvani samyaṁya yukta asita mat-paraḥ,pdf
35,vase hi yasyendriyani tasya prajfma pratisthita,vaśe hi yasyendriyāṇi tasya prajñā pratiṣṭhitā,vase hi yasyendriyani tasya prajjma pratiṣṭhita,pdf
36,dhyayato visayan pumsah sangas tesupajayate,dhyāyato viṣayān puṁsaḥ saṅgas teṣūpajāyate,dhyayato viśayan pumsaḥ sangas teṣupajayate,pdf
37,sangat safijayate kamah kamat krodho 'bhijayate,saṅgāt sañjāyate kāmaḥ kāmāt krodho ’bhijāyate,sangat sajijayate kamaḥ kamat kṛodho ’bhijayate,pdf
38,krodhad bhavati sammohah sammohat smrti-vibhramah,krodhād bhavati sammohaḥ sammohāt smṛti-vibhramaḥ,kṛodhad bhavati sammohaḥ sammohat smṛti-vibhramaḥ,pdf
39,smrti-bhramsad buddhi-naso buddhi-nasat pranasyati,smṛti-bhraṁśād buddhi-nāśo buddhi-nāśāt praṇaśyati,smṛti-bhramsad buddhi-naso buddhi-nasat praṇasyati,pdf
40,ya nisa sarva-bhutanam tasyam jagarti samyami,yā niśā sarva-bhūtānāṁ tasyāṁ jāgarti saṁyamī,ya niṣa sarva-bhutanaṁ tasyaṁ jagarti samyaṁi,pdf
41,yasyam jagrati bhutani sa nisa pasyato muneh,yasyāṁ jāgrati bhūtāni sā niśā paśyato muneḥ,yasyaṁ jagrati bhutani sa niṣa pasyato muneḥ,pdf
42,na hi kascit ksanam api jatu tisthaty akarma-krt,na hi kaścit kṣaṇam api jātu tiṣṭhaty akarma-kṛt,na hi kascit kṣaṇaṁ api jatu tiṣṭhaty akarma-kṛt,pdf
43,karyate hy avasah karma sarvah prakrti-jair gunaih,kāryate hy avaśaḥ karma sarvaḥ prakṛti-jair guṇaiḥ,karyate hy avasaḥ karma sarvaḥ prakṛti-jair guṇaiḥ,pdf
44,karmendriyani samyamya ya aste manasa smaran,karmendriyāṇi saṁyamya ya āste manasā smaran,karmeṇdriyani samyaṁya ya aste manasa smaraṇ,pdf
45,indriyarthan vimudhatma mithyacarah sa ucyate,indriyārthān vimūḍhātmā mithyācāraḥ sa ucyate,indriyarthan vimudhatma mithyacaraḥ sa ucyate,pdf
46,niyatam kuru karma tvam karma jyayo hy akarmanah,niyataṁ kuru karma tvaṁ karma jyāyo hy akarmaṇaḥ,niyataṁ kuru karma tvaṁ karma jyayo hy akarmaṇaḥ,pdf
47,sarira-yatrapi ca te na prasiddhyed akarmanah,śarīra-yātrāpi ca te na prasidhyed akarmaṇaḥ,sarira-yatrapi ca te na prasiddhyed akarmaṇaḥ,pdf
48,yajnarthat karmano 'nyatra loko 'yam karma-bandhanah,yajñārthāt karmaṇo ’nyatra loko ’yaṁ karma-bandhanaḥ,yajñarthat karmaṇo ’nyatra loko ’yam karma-bandhanaḥ,pdf
49,tad-artham karma kaunteya mukta-sangah samacara,tad-arthaṁ karma kaunteya mukta-saṅgaḥ samācara,tad-arthaṁ karma kaunteya mukta-sangaḥ samacara,pdf
50,yajfia-sistasinah santo mucyante sarva-kilbisaih,yajña-śiṣṭāśinaḥ santo mucyante sarva-kilbiṣaiḥ,yajjia-siśṭasinaḥ santo mucyante sarva-kilbiṣaiḥ,pdf
51,bhufijate te tv agham papa ye pacanty atma-karanat,bhuñjate te tv aghaṁ pāpā ye pacanty ātma-kāraṇāt,bhūīijate te tv agham papa ye pacanty atma-karaṇat,pdf
52,annad bhavanti bhutani parjanyad anna-sambhavah,annād bhavanti bhūtāni parjanyād anna-sambhavaḥ,annad bhavanti bhutani parjanyad anna-sambhavaḥ,pdf
53,bhavati parjanyo yajfiah karma-samudbhavah,yajñād bhavati parjanyo yajñaḥ karma-samudbhavaḥ,bhavati parjanyo yajjiaḥ karma-samudbhavaḥ,pdf
54,ajo 'pi sann avyayatma bhutanam isvaro 'pi san,ajo ’pi sann avyayātmā bhūtānām īśvaro ’pi san,ajo ’pi sann avyayatma bhutanaṁ iśvaro ’pi san,pdf
55,prakrtim svam adhisthaya sambhavamy atma-mayaya,prakṛtiṁ svām adhiṣṭhāya sambhavāmy ātma-māyayā,prakṛtiṁ svam adhiṣṭhaya sambhavaṁy atma-mayaya,pdf
56,yada yada hi dharmasya glanir bhavati bharata,yadā yadā hi dharmasya glānir bhavati bhārata,yada yada hi dharmasya glanir bhavati bharata,pdf
57,abhyutthanam adharmasya tadatmanam sriamy aham,abhyutthānam adharmasya tadātmānaṁ sṛjāmy aham,abhyutthanaṁ adharmasya tadatmanaṁ sriaṁy aham,pdf
58,paritranaya sadhunam vinasaya ca duskrtam,paritrāṇāya sādhūnāṁ vināśāya ca duṣkṛtām,paritraṇaya sadhunam vinasaya ca duṣkṛtaṁ,pdf
59,dharma-samsthapanarthaya sambhavami yuge yuge,dharma-saṁsthāpanārthāya sambhavāmi yuge yuge,dharma-samsthapanarthaya sambhavaṁi yuge yuge,pdf
60,janma karma ca me divyam evam yo vetti tattvatah,janma karma ca me divyam evaṁ yo vetti tattvataḥ,janma karma ca me divyaṁ evaṁ yo vetti tattvataḥ,pdf
61,tyaktva deham punar janma naiti mam eti so 'rjuna,tyaktvā dehaṁ punar janma naiti mām eti so ’rjuna,tyaktva dehaṁ puṇar janma naiti mam eti so ’rjuna,pdf
62,ye yatha mam prapadyante tams tathaiva bhajamy aham,ye yathā māṁ prapadyante tāṁs tathaiva bhajāmy aham,ye yatha mam prapadyante tams tathaiva bhajamy aham,pdf
63,mama vartmanuvartante manusyah partha sarvasah,mama vartmānuvartante manuṣyāḥ pārtha sarvaśaḥ,mama vartmanuvartante manuṣyaḥ partha sarvasaḥ,pdf
64,catur-varnyam maya srstam guna-karma-vibhagasah,cātur-varṇyaṁ mayā sṛṣṭaṁ guṇa-karma-vibhāgaśaḥ,catur-varṇyaṁ maya srṣṭam guṇa-karma-vibhagasaḥ,pdf
65,tasya kartaram api mam viddhy akartaram avyayam,tasya kartāram api māṁ viddhy akartāram avyayam,tasya kartaraṁ api mam viddhy akartaram avyayaṁ,pdf
66,tad viddhi pranipatena pariprasnena sevaya,tad viddhi praṇipātena paripraśnena sevayā,tad viddhi praṇipatena pariprasṇena sevaya,pdf
67,upadeksyanti te jfanam tattva-darsinah,upadekṣyanti te jñānaṁ jñāninas tattva-darśinaḥ,upadekṣyanti te jjanaṁ tattva-darṣiṇaḥ,pdf
68,vidya-vinaya-sampanne brahmane gavi hastini,vidyā-vinaya-sampanne brāhmaṇe gavi hastini,vidya-vinaya-sampanne bṛahmane gavi hastini,pdf
69,suni caiva sva-pake ca panditah sama-darsinah,śuni caiva śva-pāke ca paṇḍitāḥ sama-darśinaḥ,suni caiva sva-pake ca panditaḥ sama-darṣiṇaḥ,pdf
70,ye hi samsparsa-ja bhoga duhkha-yonaya eva te,ye hi saṁsparśa-jā bhogā duḥkha-yonaya eva te,ye hi samsparṣa-ja bhoga duḥkha-yonaya eva te,pdf
71,ady-antavantah kaunteya na tesu ramate budhah,ādy-antavantaḥ kaunteya na teṣu ramate budhaḥ,ady-antavantaḥ kaunteya na teṣu ramate budhaḥ,pdf
72,bhoktaram yajfia-tapasam sarva-loka-mahesvaram,bhoktāraṁ yajña-tapasāṁ sarva-loka-maheśvaram,bhoktaraṁ yajjia-tapasaṁ sarva-loka-maheṣvaram,pdf
73,suhrdam sarva-bhutanam jfiatva mam santim rechati,suhṛdaṁ sarva-bhūtānāṁ jñātvā māṁ śāntim ṛcchati,suhrdam sarva-bhutanaṁ jjiatva mam santim rechati,pdf
74,$ri-bhagavan uvaca,śrī-bhagavān uvāca,śrī-bhagavan uvaca,pdf
75,anasritah karma-phalam karyam karma karoti yah,anāśritaḥ karma-phalaṁ kāryaṁ karma karoti yaḥ,anasritaḥ karma-phalaṁ karyaṁ karma karoti yaḥ,pdf
76,sa sannyasi ca yogi ca na niragnir na cakriyah,sa sannyāsī ca yogī ca na niragnir na cākriyaḥ,sa sannyasi ca yogi ca na niragnir na cakṛiyaḥ,pdf
77,uddhared atmanatmanam natmanam avasadayet,uddhared ātmanātmānaṁ nātmānam avasādayet,uddhared atmanatmanaṁ natmanaṁ avasadayet,pdf
78,atmaiva hy atmano bandhur atmaiva ripur atmanah,ātmaiva hy ātmano bandhur ātmaiva ripur ātmanaḥ,atmaiva hy atmano bandhur atmaiva ripur atmanaḥ,pdf
79,yuktahara-viharasya yukta-cestasya karmasu,yuktāhāra-vihārasya yukta-ceṣṭasya karmasu,yuktaḥāra-viharasya yukta-ceṣṭasya karmasu,pdf
80,yukta-svapnavabodhasya yogo bhavati duhkha-ha,yukta-svapnāvabodhasya yogo bhavati duḥkha-hā,yukta-svapnavabodhasya yogo bhavati duḥkha-ha,pdf
81,sukham atyantikam yat tad buddhi-grahyam atindriyam,sukham ātyantikaṁ yat tad buddhi-grāhyam atīndriyam,sukhaṁ atyantikam yat tad buddhi-grahyaṁ atindriyaṁ,pdf
82,vetti yatra na caivayam sthitas calati tattvatah,vetti yatra na caivāyaṁ sthitaś calati tattvataḥ,vetti yatra na caivayaṁ sthitas calati tattvataḥ,pdf
83,yam labdhva caparam labham manyate nadhikam tatah,yaṁ labdhvā cāparaṁ lābhaṁ manyate nādhikaṁ tataḥ,yaṁ labdhva caparam labham manyate nadhikaṁ tataḥ,pdf
84,yasmin sthito na duhkhena gurunapi vicalyate,yasmin sthito na duḥkhena guruṇāpi vicālyate,yasmin sthito na duhkhena guruṇapi vicalyate,pdf
85,tam vidyad duhkha-samyoga- viyogam yoga-samjfiitam,taṁ vidyād duḥkha-saṁyoga- viyogaṁ yoga-saṁjñitam,tam vidyad duḥkha-samyoga- viyogam yoga-samjjiitaṁ,pdf
86,yato yato niscalati manas caficalam asthiram,yato yato niścalati manaś cañcalam asthiram,yato yato niṣcalati manas caīicalaṁ asthiram,pdf
87,tatas tato niyamyaitad atmany eva vasam nayet,tatas tato niyamyaitad ātmany eva vaśaṁ nayet,tatas tato niyaṁyaitad atmany eva vasam nayet,pdf
88,yo mam pasyati sarvatra sarvam ca mayi pasyati,yo māṁ paśyati sarvatra sarvaṁ ca mayi paśyati,yo mam pasyati sarvatra sarvam ca mayi pasyati,pdf
89,tasyaham na pranasyami sa ca me na pranasyati,tasyāhaṁ na praṇaśyāmi sa ca me na praṇaśyati,tasyaḥaṁ na praṇasyaṁi sa ca me na praṇasyati,pdf
90,caficalam hi manah krsna pramathi balavad drdham,cañcalaṁ hi manaḥ kṛṣṇa pramāthi balavad dṛḍham,caīicalaṁ hi manaḥ kṛṣṇa pramathi balavad drdham,pdf
91,tasyaham nigraham manye vayor iva su-duskaram,tasyāhaṁ nigrahaṁ manye vāyor iva su-duṣkaram,tasyaḥaṁ nigrahaṁ manye vayor iva su-duṣkaram,pdf
92,prapya punya-krtam lokan usitva sasvatih samah,prāpya puṇya-kṛtāṁ lokān uṣitvā śāśvatīḥ samāḥ,prapya puṇya-kṛtam lokan uṣitva sasvatiḥ samaḥ,pdf
93,sucinam srimatam gehe yoga-bhrasto 'bhijayate,śucīnāṁ śrīmatāṁ gehe yoga-bhraṣṭo ’bhijāyate,sucinaṁ srīmataṁ gehe yoga-bhrasṭo ’bhijayate,pdf
94,yoginam api sarvesam mad-gatenantar-atmana,yoginām api sarveṣāṁ mad-gatenāntar-ātmanā,yoginaṁ api sarveṣaṁ mad-gatenantar-atmana,pdf
95,sraddhavan bhajate yo mam sa me yuktatamo matah,śraddhāvān bhajate yo māṁ sa me yukta-tamo mataḥ,sraddhavan bhajate yo mam sa me yuktataṁo mataḥ,pdf
96,sri-bhagavan uvaca,śrī-bhagavān uvāca,srī-bhagavan uvaca,pdf
97,mayy asakta-manah partha yogam yufijan mad-asrayah,mayy āsakta-manāḥ pārtha yogaṁ yuñjan mad-āśrayaḥ,mayy asakta-manaḥ partha yogam yuīijan mad-asrayaḥ,pdf
98,asamsayam samagram mam yatha tac chrnu,asaṁśayaṁ samagraṁ māṁ yathā jñāsyasi tac chṛṇu,asaṁsayaṁ samagram mam yatha tac chrṇu,pdf
99,manusyanam sahasresu kascid yatati siddhaye,manuṣyāṇāṁ sahasreṣu kaścid yatati siddhaye,manuṣyanaṁ sahasreṣu kascid yatati siddhaye,pdf
100,yatatam api siddhanam kascin mam vetti tattvatah,yatatām api siddhānāṁ kaścin māṁ vetti tattvataḥ,yatataṁ api siddhanaṁ kascin mam vetti tattvataḥ,pdf
101,bhumir apo 'nalo vayuh kham mano buddhir eva ca,bhūmir āpo ’nalo vāyuḥ khaṁ mano buddhir eva ca,bhūmir apo ’nalo vayuḥ kham mano buddhir eva ca,pdf
102,ahankara itiyam me bhinna prakrtir astadha,ahaṅkāra itīyaṁ me bhinnā prakṛtir aṣṭadhā,ahankara itiyaṁ me bhinna prakṛtir astadha,pdf
103,apareyam itas tv anyam prakrtim viddhi me param,apareyam itas tv anyāṁ prakṛtiṁ viddhi me parām,apareyaṁ itas tv anyam prakṛtim viddhi me param,pdf
104,jiva-bhutam maha-baho yayedam dharyate jagat,jīva-bhūtāṁ mahā-bāho yayedaṁ dhāryate jagat,jiva-bhūtaṁ maha-baho yayedam dharyate jagat,pdf
105,mattah parataram nanyat kifcid asti dhananijaya,mattaḥ parataraṁ nānyat kiñcid asti dhanañ-jaya,mattaḥ parataraṁ nanyat kiīcid asti dhananijaya,pdf
106,mayi sarvam idam protam sutre mani-gana iva,mayi sarvam idaṁ protaṁ sūtre maṇi-gaṇā iva,mayi sarvaṁ idam protam sutre mani-gana iva,pdf
107,raso 'ham apsu kaunteya prabhasmi sasi-suryayoh,raso ’ham apsu kaunteya prabhāsmi śaśi-sūryayoḥ,raso ’haṁ apśu kaunteya prabhasmi sasi-suryayoḥ,pdf
108,pranavah sarva-vedesu sabdah khe paurusam nrsu,praṇavaḥ sarva-vedeṣu śabdaḥ khe pauruṣaṁ nṛṣu,praṇavaḥ sarva-vedeśu sabdaḥ khe pauruṣam nṛṣu,pdf
109,balam balavatam caham kama-raga-vivarjitam,balaṁ balavatāṁ cāhaṁ kāma-rāga-vivarjitam,balaṁ balavataṁ cahaṁ kama-raga-vivarjitaṁ,pdf
110,dharmaviruddho bhutesu kamo 'smi bharatarsabha,dharmāviruddho bhūteṣu kāmo ’smi bharatarṣabha,dharmaviruddho bhuteṣu kamo ’smi bharatarśabha,pdf
111,tribhir guna-mayair bhavair ebhih sarvam idam jagat,tribhir guṇa-mayair bhāvair ebhiḥ sarvam idaṁ jagat,tribhir guṇa-mayair bhavair ebhiḥ sarvam idam jagat,pdf
112,mohitam nabhijanati mam ebhyah param avyayam,mohitaṁ nābhijānāti mām ebhyaḥ param avyayam,mohitaṁ nabhijanati mam ebhyaḥ param avyayaṁ,pdf
113,daivi hy esa guna-mayi mama maya duratyaya,daivī hy eṣā guṇa-mayī mama māyā duratyayā,daivi hy eṣa guṇa-mayi mama maya duratyaya,pdf
114,mam eva ye prapadyante mayam etam taranti te,mām eva ye prapadyante māyām etāṁ taranti te,mam eva ye prapadyante mayaṁ etam taraṇti te,pdf
115,na mam duskrtino mudhah prapadyante naradhamah,na māṁ duṣkṛtino mūḍhāḥ prapadyante narādhamāḥ,na mam duṣkṛtiṇo mudhaḥ prapadyante naradhamaḥ,pdf
116,mayayapahrta-jfana asuram bhavam asritah,māyayāpahṛta-jñānā āsuraṁ bhāvam āśritāḥ,mayayapaḥrta-jjana asuram bhavaṁ asritaḥ,pdf
117,catur-vidha bhajante mam janah sukrtino 'rjuna,catur-vidhā bhajante māṁ janāḥ su-kṛtino ’rjuna,catur-vidha bhajante mam janaḥ sukṛtino ’rjuna,pdf
118,arto jijmasur artharthi ca bharatarsabha,ārto jijñāsur arthārthī jñānī ca bharatarṣabha,arto jijmasur artharthi ca bharatarśabha,pdf
119,bahunam janmanam ante mam prapadyate,bahūnāṁ janmanām ante jñānavān māṁ prapadyate,bahunaṁ janmanaṁ ante mam prapadyate,pdf
120,vasudevah sarvam iti sa mahatma su-durlabhah,vāsudevaḥ sarvam iti sa mahātmā su-durlabhaḥ,vasudevaḥ sarvam iti sa mahatma su-durlabhaḥ,pdf
121,kamais tais tair hrta-jnanah prapadyante 'nya-devatah,kāmais tais tair hṛta-jñānāḥ prapadyante ’nya-devatāḥ,kamaiś taiś tair hrta-jñanaḥ prapadyante ’nya-devataḥ,pdf
122,tam tam niyamam asthaya prakrtya niyatah svaya,taṁ taṁ niyamam āsthāya prakṛtyā niyatāḥ svayā,tam tam niyaṁaṁ asthaya prakṛtya niyataḥ svaya,pdf
123,antavat tu phalam tesam tad bhavaty alpa-medhasam,antavat tu phalaṁ teṣāṁ tad bhavaty alpa-medhasām,antavat tu phalaṁ teṣaṁ tad bhavaty alpa-medhasaṁ,pdf
124,devan deva-yajo yanti mad-bhakta-yanti mam api,devān deva-yajo yānti mad-bhaktā yānti mām api,devan deva-yajo yanti mad-bhakta-yanti mam api,pdf
125,avyaktam vyaktim apannam manyante mam abuddhayah,avyaktaṁ vyaktim āpannaṁ manyante mām abuddhayaḥ,avyaktaṁ vyaktim apannam manyante mam abuddhayaḥ,pdf
126,param bhavam ajananto mamavyayam anuttamam,paraṁ bhāvam ajānanto mamāvyayam anuttamam,param bhavaṁ ajananto mamavyayaṁ anuttamaṁ,pdf
127,naham prakasah sarvasya yoga-maya-savavrtah,nāhaṁ prakāśaḥ sarvasya yoga-māyā-samāvṛtaḥ,naḥaṁ prakasaḥ sarvasya yoga-maya-savavrtaḥ,pdf
128,mugho 'yam nabhijanati loko mam ajam avyayam,mūḍho ’yaṁ nābhijānāti loko mām ajam avyayam,mugho ’yam nabhijanati loko mam ajam avyayaṁ,pdf
129,vedaham samatitani vartamanani carjuna,vedāhaṁ samatītāni vartamānāni cārjuna,vedaḥaṁ samatitani vartamanani carjuna,pdf
130,bhavisyani ca bhutani mam tu veda na kascana,bhaviṣyāṇi ca bhūtāni māṁ tu veda na kaścana,bhaviṣyani ca bhutani mam tu veda na kascana,pdf
131,iccha-dvesa samutthena dvandva-mohena bharata,icchā-dveṣa-samutthena dvandva-mohena bhārata,iccha-dveṣa samutthena dvandva-mohena bharata,pdf
132,sarva-bhutani sammoham sarge yanti parantapa,sarva-bhūtāni sammohaṁ sarge yānti parantapa,sarva-bhūtani sammoham sarge yanti paraṇtapa,pdf
133,yesam tv anta-gatam papam jananam punya-karmanam,yeṣāṁ tv anta-gataṁ pāpaṁ janānāṁ puṇya-karmaṇām,yeṣaṁ tv anta-gataṁ papaṁ jananaṁ punya-karmaṇaṁ,pdf
134,te dvandva-moha-nirmukta bhajante mam drdha-vratah,te dvandva-moha-nirmuktā bhajante māṁ dṛḍha-vratāḥ,te dvandva-moha-nirmukta bhajante mam drdha-vrataḥ,pdf
135,anta-kale ca mam eva smaran muktva kalevaram,anta-kāle ca mām eva smaran muktvā kalevaram,anta-kale ca mam eva smaraṇ muktva kalevaram,pdf
136,yah prayati sa mad-bhavam yati nasty atra samsayah,yaḥ prayāti sa mad-bhāvaṁ yāti nāsty atra saṁśayaḥ,yaḥ prayati sa mad-bhavaṁ yati nasty atra samsayaḥ,pdf
137,yam yam vapi smaran bhavam tyajaty ante kalevaram,yaṁ yaṁ vāpi smaran bhāvaṁ tyajaty ante kalevaram,yaṁ yam vapi smaraṇ bhavaṁ tyajaty ante kalevaram,pdf
138,tam tam evaiti kaunteya sada tad-bhava-bhavitah,taṁ tam evaiti kaunteya sadā tad-bhāva-bhāvitaḥ,tam tam evaiti kaunteya sada tad-bhava-bhavitaḥ,pdf
139,mam upetya punar janma duhkhalayam asasvatam,mām upetya punar janma duḥkhālayam aśāśvatam,mam upetya puṇar janma duḥkhalayaṁ asasvatam,pdf
140,napnuvanti mahatmanah samsiddhim paramam gatah,nāpnuvanti mahātmānaḥ saṁsiddhiṁ paramāṁ gatāḥ,napnuvanti mahatmanaḥ samsiddhim paramaṁ gataḥ,pdf
141,a-brahma-bhuvanal lokah punar avartino 'rjuna,ā-brahma-bhuvanāl lokāḥ punar āvartino ’rjuna,a-bṛahma-bhuvanal lokaḥ puṇar avartino ’rjuna,pdf
142,mam upetya tu kaunteya punar janma na vidyate,mām upetya tu kaunteya punar janma na vidyate,mam upetya tu kaunteya puṇar janma na vidyate,pdf
143,sahasra-yuga-paryantam ahar yad brahmano vidhuh,sahasra-yuga-paryantam ahar yad brahmaṇo viduḥ,sahasra-yuga-paryaṇtam ahar yad bṛahmaṇo vidhuḥ,pdf
144,ratrim yuga-sahasrantam te 'ho-ratra-vido janah,rātriṁ yuga-sahasrāntāṁ te ’ho-rātra-vido janāḥ,ratrim yuga-sahasraṇtam te ’ho-ratra-vido janaḥ,pdf
145,bhuta-gramah sa evayam bhutva bhutva praliyate,bhūta-grāmaḥ sa evāyaṁ bhūtvā bhūtvā pralīyate,bhūta-gramaḥ sa evayaṁ bhutva bhutva praliyate,pdf
146,ratry-agame 'vasah partha prabhavaty ahar-agame,rātry-āgame ’vaśaḥ pārtha prabhavaty ahar-āgame,ratry-agame ’vasaḥ partha prabhavaty ahar-agame,pdf
147,paras tasmat tu bhavo 'nyo 'vyakto 'vyaktat sanatanah,paras tasmāt tu bhāvo ’nyo ’vyakto ’vyaktāt sanātanaḥ,paras tasmat tu bhavo ’nyo ’vyakto ’vyaktat sanatanaḥ,pdf
148,yah sa sarvesu bhutesu nasyatsu na vinasyati,yaḥ sa sarveṣu bhūteṣu naśyatsu na vinaśyati,yaḥ sa sarveṣu bhuteṣu nasyatsu na vinasyati,pdf
149,raja-vidya raja-guhyam pavitram idam uttamam,rāja-vidyā rāja-guhyaṁ pavitram idam uttamam,raja-vidya raja-guhyaṁ pavitram idam uttamaṁ,pdf
150,pratyaksavagamam dharmyam su-sukham kartum avyayam,pratyakṣāvagamaṁ dharmyaṁ su-sukhaṁ kartum avyayam,pratyakṣavagamaṁ dharmyaṁ su-sukham kartum avyayaṁ,pdf
151,asraddadhanah purusa dharmasyasya parantapa,aśraddadhānāḥ puruṣā dharmasyāsya paran-tapa,asraddadhanaḥ puruṣa dharmasyasya paraṇtapa,pdf
