,source,target,prediction,origin
19,ajo nityah sasvato 'yam purano na hanyate hanyamane sarire,ajo nityaḥ śāśvato ’yaṁ purāṇo na hanyate hanyamāne śarīre,ajo nityaḥ śaśvato ’yaṁ puraṇo na hanyate hanyamāne śarīre,pdf
20,vasamsi jirnani yatha vihaya,vāsāṁsi jīrṇāni yathā vihāya,vasāṁsi jīrṇāni yathā vihāya,pdf
21,navani grhnati naro 'parani,navāni gṛhṇāti naro ’parāṇi,navāni gṛhṇati naro ’parāṇi,pdf
22,tatha sarirani vihaya jirnany,tathā śarīrāṇi vihāya jīrṇāny,tathā śarīrāṇi vihaya jīrṇāny,pdf
23,anyani samyati navani dehi,anyāni saṁyāti navāni dehī,anyāni samyati navani dehi,pdf
24,nainam chindanti sastrani nainam dahati pavakah,nainaṁ chindanti śastrāṇi nainaṁ dahati pāvakaḥ,nainaṁ chindanti śastrāṇi nainaṁ dahati pāvakaḥ,pdf
25,na cainam kledayanty apo na sosayati marutah,na cainaṁ kledayanty āpo na śoṣayati mārutaḥ,na cainaṁ kledayanty apo na śoṣayati mārutaḥ,pdf
26,nehabhikrama-naso 'sti pratyavayo na vidyate,nehābhikrama-nāśo ’sti pratyavāyo na vidyate,nehabhikrama-nāśo ’sti pratyavayo na vidyate,pdf
27,sv-alpam apy asya dharmasya trayate mahato bhayat,sv-alpam apy asya dharmasya trāyate mahato bhayāt,sv-alpam apy asya dharmasya trayate mahato bhayāt,pdf
28,bhogaisvarya-prasaktanam tayapahrta-cetasam,bhogaiśvarya-prasaktānāṁ tayāpahṛta-cetasām,bhogaiśvarya-praśaktanaṁ tayapāhṛta-cetasam,pdf
29,vyavasayatmika buddhih samadhau na vidhiyate,vyavasāyātmikā buddhiḥ samādhau na vidhīyate,vyāvasayātmika buddhiḥ samadhau na vidhīyate,pdf
30,karmany evadhikaras te ma phalesu kadacana,karmaṇy evādhikāras te mā phaleṣu kadācana,karmaṇy evadhikaras te ma phaleṣu kadācana,pdf
31,ma karma-phala-hetur bhur ma te sango 'stv akarmani,mā karma-phala-hetur bhūr mā te saṅgo ’stv akarmaṇi,ma karma-phala-hetur bhur ma te saṅgo ’stv akarmaṇi,pdf
32,visaya vinivartante niraharasya dehinah,viṣayā vinivartante nirāhārasya dehinaḥ,viṣayā vinivartante niraharasya dehināḥ,pdf
33,rasa-varjam raso 'py asya param drstva nirvartate,rasa-varjaṁ raso ’py asya paraṁ dṛṣṭvā nivartate,rāsa-varjaṁ raso ’py asya paraṁ dṛṣṭvā nirvartate,pdf
34,tani sarvani samyamya yukta asita mat-parah,tāni sarvāṇi saṁyamya yukta āsīta mat-paraḥ,tāni sarvāṇi saṁyamya yukta āsita mat-paraḥ,pdf
35,vase hi yasyendriyani tasya prajfma pratisthita,vaśe hi yasyendriyāṇi tasya prajñā pratiṣṭhitā,vase hi yasyendriyāṇi tasya prajīma pratiṣṭhita,pdf
36,dhyayato visayan pumsah sangas tesupajayate,dhyāyato viṣayān puṁsaḥ saṅgas teṣūpajāyate,dhyāyato viṣayān puṁsaḥ saṅgas teṣupajāyate,pdf
37,sangat safijayate kamah kamat krodho 'bhijayate,saṅgāt sañjāyate kāmaḥ kāmāt krodho ’bhijāyate,saṅgāt salijayate kamaḥ kamat krodho ’bhijāyate,pdf
38,krodhad bhavati sammohah sammohat smrti-vibhramah,krodhād bhavati sammohaḥ sammohāt smṛti-vibhramaḥ,krodhad bhavati sammohaḥ sammohat smṛti-vibhramaḥ,pdf
39,smrti-bhramsad buddhi-naso buddhi-nasat pranasyati,smṛti-bhraṁśād buddhi-nāśo buddhi-nāśāt praṇaśyati,smṛti-bhrāṁśad buddhi-naśo buddhi-nāśat praṇasyati,pdf
40,ya nisa sarva-bhutanam tasyam jagarti samyami,yā niśā sarva-bhūtānāṁ tasyāṁ jāgarti saṁyamī,ya niśa sarva-bhūtānaṁ tasyaṁ jagarti samyāmi,pdf
41,yasyam jagrati bhutani sa nisa pasyato muneh,yasyāṁ jāgrati bhūtāni sā niśā paśyato muneḥ,yasyaṁ jagrati bhūtāni sa niśa paśyato muneḥ,pdf
42,na hi kascit ksanam api jatu tisthaty akarma-krt,na hi kaścit kṣaṇam api jātu tiṣṭhaty akarma-kṛt,na hi kaścit kṣaṇam api jatu tiṣṭhaty akarma-kṛt,pdf
43,karyate hy avasah karma sarvah prakrti-jair gunaih,kāryate hy avaśaḥ karma sarvaḥ prakṛti-jair guṇaiḥ,karyate hy avasaḥ karma sarvaḥ prakṛti-jair guṇaiḥ,pdf
44,karmendriyani samyamya ya aste manasa smaran,karmendriyāṇi saṁyamya ya āste manasā smaran,karmendriyāṇi samyamya ya āste manasā smaran,pdf
45,indriyarthan vimudhatma mithyacarah sa ucyate,indriyārthān vimūḍhātmā mithyācāraḥ sa ucyate,indriyārthān vimudhātma mithyācaraḥ sa ucyate,pdf
46,niyatam kuru karma tvam karma jyayo hy akarmanah,niyataṁ kuru karma tvaṁ karma jyāyo hy akarmaṇaḥ,niyataṁ kuru karma tvaṁ karma jyayo hy akarmaṇāḥ,pdf
47,sarira-yatrapi ca te na prasiddhyed akarmanah,śarīra-yātrāpi ca te na prasidhyed akarmaṇaḥ,śarīra-yatrapi ca te na prasiddhyed akarmaṇāḥ,pdf
48,yajnarthat karmano 'nyatra loko 'yam karma-bandhanah,yajñārthāt karmaṇo ’nyatra loko ’yaṁ karma-bandhanaḥ,yajñārthāt karmaṇo ’nyatra loko ’yaṁ karma-bandhanaḥ,pdf
49,tad-artham karma kaunteya mukta-sangah samacara,tad-arthaṁ karma kaunteya mukta-saṅgaḥ samācara,tad-arthaṁ karma kaunteya mukta-saṅgaḥ samācara,pdf
50,yajfia-sistasinah santo mucyante sarva-kilbisaih,yajña-śiṣṭāśinaḥ santo mucyante sarva-kilbiṣaiḥ,yajjiā-śiṣṭāsinaḥ santo mucyante sarva-kilbiṣaiḥ,pdf
51,bhufijate te tv agham papa ye pacanty atma-karanat,bhuñjate te tv aghaṁ pāpā ye pacanty ātma-kāraṇāt,bhūjijate te tv aghaṁ papa ye pacanty ātma-karaṇāt,pdf
52,annad bhavanti bhutani parjanyad anna-sambhavah,annād bhavanti bhūtāni parjanyād anna-sambhavaḥ,annād bhavanti bhūtāni parjanyad anna-sambhavaḥ,pdf
53,bhavati parjanyo yajfiah karma-samudbhavah,yajñād bhavati parjanyo yajñaḥ karma-samudbhavaḥ,bhavati parjanyo yajjiāḥ karma-samudbhavaḥ,pdf
54,ajo 'pi sann avyayatma bhutanam isvaro 'pi san,ajo ’pi sann avyayātmā bhūtānām īśvaro ’pi san,ajo ’pi sann avyayātma bhūtānām īśvaro ’pi sān,pdf
55,prakrtim svam adhisthaya sambhavamy atma-mayaya,prakṛtiṁ svām adhiṣṭhāya sambhavāmy ātma-māyayā,prakṛtiṁ svam adhiṣṭhaya sambhavāmy ātma-māyayā,pdf
56,yada yada hi dharmasya glanir bhavati bharata,yadā yadā hi dharmasya glānir bhavati bhārata,yadā yadā hi dharmasya glanir bhavati bhārata,pdf
57,abhyutthanam adharmasya tadatmanam sriamy aham,abhyutthānam adharmasya tadātmānaṁ sṛjāmy aham,abhyutthānām adharmasya tadātmanaṁ sṛiāmy aham,pdf
58,paritranaya sadhunam vinasaya ca duskrtam,paritrāṇāya sādhūnāṁ vināśāya ca duṣkṛtām,paritraṇāya sadhunāṁ vināśaya ca duṣkṛtam,pdf
59,dharma-samsthapanarthaya sambhavami yuge yuge,dharma-saṁsthāpanārthāya sambhavāmi yuge yuge,dharma-saṁsthāpanārthaya sambhavāmi yuge yuge,pdf
60,janma karma ca me divyam evam yo vetti tattvatah,janma karma ca me divyam evaṁ yo vetti tattvataḥ,janma karma ca me divyam evaṁ yo vetti tattvataḥ,pdf
61,tyaktva deham punar janma naiti mam eti so 'rjuna,tyaktvā dehaṁ punar janma naiti mām eti so ’rjuna,tyaktvā dehaṁ punar janma naiti mam eti so ’rjunā,pdf
62,ye yatha mam prapadyante tams tathaiva bhajamy aham,ye yathā māṁ prapadyante tāṁs tathaiva bhajāmy aham,ye yathā maṁ prapadyante taṁs tathaiva bhajamy aham,pdf
63,mama vartmanuvartante manusyah partha sarvasah,mama vartmānuvartante manuṣyāḥ pārtha sarvaśaḥ,māmā vārtmanuvartante manuṣyaḥ partha sarvaśaḥ,pdf
64,catur-varnyam maya srstam guna-karma-vibhagasah,cātur-varṇyaṁ mayā sṛṣṭaṁ guṇa-karma-vibhāgaśaḥ,catur-varṇyaṁ maya sṛṣṭaṁ guṇa-karma-vibhāgaśaḥ,pdf
65,tasya kartaram api mam viddhy akartaram avyayam,tasya kartāram api māṁ viddhy akartāram avyayam,tasya kartaram api maṁ viddhy akartaram avyayam,pdf
66,tad viddhi pranipatena pariprasnena sevaya,tad viddhi praṇipātena paripraśnena sevayā,tad viddhi praṇipatena pariprasnena sevayā,pdf
67,upadeksyanti te jfanam tattva-darsinah,upadekṣyanti te jñānaṁ jñāninas tattva-darśinaḥ,upadekṣyanti te jjanaṁ tattva-darśinaḥ,pdf
68,vidya-vinaya-sampanne brahmane gavi hastini,vidyā-vinaya-sampanne brāhmaṇe gavi hastini,vidya-vināya-sampanne brahmaṇe gavi hastini,pdf
69,suni caiva sva-pake ca panditah sama-darsinah,śuni caiva śva-pāke ca paṇḍitāḥ sama-darśinaḥ,suni caiva sva-pake ca paṇḍitaḥ sama-darśinaḥ,pdf
70,ye hi samsparsa-ja bhoga duhkha-yonaya eva te,ye hi saṁsparśa-jā bhogā duḥkha-yonaya eva te,ye hi saṁsparśa-ja bhoga duḥkha-yonaya eva te,pdf
71,ady-antavantah kaunteya na tesu ramate budhah,ādy-antavantaḥ kaunteya na teṣu ramate budhaḥ,ādy-antavantaḥ kaunteya na teṣu ramate budhaḥ,pdf
72,bhoktaram yajfia-tapasam sarva-loka-mahesvaram,bhoktāraṁ yajña-tapasāṁ sarva-loka-maheśvaram,bhoktaraṁ yajjia-tapasaṁ sarva-loka-maheśvaram,pdf
73,suhrdam sarva-bhutanam jfiatva mam santim rechati,suhṛdaṁ sarva-bhūtānāṁ jñātvā māṁ śāntim ṛcchati,suhṛdāṁ sarva-bhūtānaṁ jjiātva maṁ śantim ṛcchati,pdf
74,$ri-bhagavan uvaca,śrī-bhagavān uvāca,śrī-bhagavān uvāca,pdf
75,anasritah karma-phalam karyam karma karoti yah,anāśritaḥ karma-phalaṁ kāryaṁ karma karoti yaḥ,anāśritaḥ karma-phalaṁ karyaṁ karma karoti yaḥ,pdf
76,sa sannyasi ca yogi ca na niragnir na cakriyah,sa sannyāsī ca yogī ca na niragnir na cākriyaḥ,sa sannyasi ca yogi ca na niragnir na cakriyaḥ,pdf
77,uddhared atmanatmanam natmanam avasadayet,uddhared ātmanātmānaṁ nātmānam avasādayet,uddhared ātmanātmanaṁ nātmanam avasādayet,pdf
78,atmaiva hy atmano bandhur atmaiva ripur atmanah,ātmaiva hy ātmano bandhur ātmaiva ripur ātmanaḥ,ātmaiva hy ātmano bandhur ātmaiva ripur ātmanaḥ,pdf
79,yuktahara-viharasya yukta-cestasya karmasu,yuktāhāra-vihārasya yukta-ceṣṭasya karmasu,yuktahara-viharasya yukta-ceṣṭasya karmasu,pdf
80,yukta-svapnavabodhasya yogo bhavati duhkha-ha,yukta-svapnāvabodhasya yogo bhavati duḥkha-hā,yukta-svapnavabodhasya yogo bhavati duḥkha-hā,pdf
81,sukham atyantikam yat tad buddhi-grahyam atindriyam,sukham ātyantikaṁ yat tad buddhi-grāhyam atīndriyam,sukham atyantikaṁ yat tad buddhi-grahyam atindriyam,pdf
82,vetti yatra na caivayam sthitas calati tattvatah,vetti yatra na caivāyaṁ sthitaś calati tattvataḥ,vetti yatra na caivayaṁ sthitaś calati tattvataḥ,pdf
83,yam labdhva caparam labham manyate nadhikam tatah,yaṁ labdhvā cāparaṁ lābhaṁ manyate nādhikaṁ tataḥ,yaṁ labdhvā caparaṁ labhaṁ manyate nadhikaṁ tataḥ,pdf
84,yasmin sthito na duhkhena gurunapi vicalyate,yasmin sthito na duḥkhena guruṇāpi vicālyate,yasmin sthito na duḥkhena guruṇāpi vicalyate,pdf
85,tam vidyad duhkha-samyoga- viyogam yoga-samjfiitam,taṁ vidyād duḥkha-saṁyoga- viyogaṁ yoga-saṁjñitam,taṁ vidyād duḥkha-saṁyoga- viyogaṁ yoga-saṁjīiitaṁ,pdf
86,yato yato niscalati manas caficalam asthiram,yato yato niścalati manaś cañcalam asthiram,yato yato niścalati manaś cajicalam asthiram,pdf
87,tatas tato niyamyaitad atmany eva vasam nayet,tatas tato niyamyaitad ātmany eva vaśaṁ nayet,tatas tato niyamyaitad ātmany eva vasaṁ nayet,pdf
88,yo mam pasyati sarvatra sarvam ca mayi pasyati,yo māṁ paśyati sarvatra sarvaṁ ca mayi paśyati,yo maṁ paśyati sarvatra sarvaṁ ca mayi paśyati,pdf
89,tasyaham na pranasyami sa ca me na pranasyati,tasyāhaṁ na praṇaśyāmi sa ca me na praṇaśyati,tasyāhaṁ na praṇasyami sa ca me na praṇasyati,pdf
90,caficalam hi manah krsna pramathi balavad drdham,cañcalaṁ hi manaḥ kṛṣṇa pramāthi balavad dṛḍham,cajicalaṁ hi manaḥ kṛṣṇa pramathi balavad dṛḍhaṁ,pdf
91,tasyaham nigraham manye vayor iva su-duskaram,tasyāhaṁ nigrahaṁ manye vāyor iva su-duṣkaram,tasyāhaṁ nigrahaṁ manye vayor iva su-duṣkaram,pdf
92,prapya punya-krtam lokan usitva sasvatih samah,prāpya puṇya-kṛtāṁ lokān uṣitvā śāśvatīḥ samāḥ,prāpya puṇya-kṛtaṁ lokān uṣitva śaśvatiḥ samaḥ,pdf
93,sucinam srimatam gehe yoga-bhrasto 'bhijayate,śucīnāṁ śrīmatāṁ gehe yoga-bhraṣṭo ’bhijāyate,sucināṁ śrīmataṁ gehe yoga-bhraṣṭo ’bhijāyate,pdf
94,yoginam api sarvesam mad-gatenantar-atmana,yoginām api sarveṣāṁ mad-gatenāntar-ātmanā,yogīnām api sarveṣāṁ mad-gatenantar-ātmanā,pdf
95,sraddhavan bhajate yo mam sa me yuktatamo matah,śraddhāvān bhajate yo māṁ sa me yukta-tamo mataḥ,śraddhavān bhajate yo maṁ sa me yuktatamo mataḥ,pdf
96,sri-bhagavan uvaca,śrī-bhagavān uvāca,śrī-bhagavān uvāca,pdf
97,mayy asakta-manah partha yogam yufijan mad-asrayah,mayy āsakta-manāḥ pārtha yogaṁ yuñjan mad-āśrayaḥ,mayy aśakta-manaḥ partha yogaṁ yujijan mad-āśrayaḥ,pdf
98,asamsayam samagram mam yatha tac chrnu,asaṁśayaṁ samagraṁ māṁ yathā jñāsyasi tac chṛṇu,aśaṁśayaṁ samagraṁ maṁ yathā tac chṛṇu,pdf
99,manusyanam sahasresu kascid yatati siddhaye,manuṣyāṇāṁ sahasreṣu kaścid yatati siddhaye,manuṣyānāṁ sahaśreṣu kaścid yatati siddhaye,pdf
100,yatatam api siddhanam kascin mam vetti tattvatah,yatatām api siddhānāṁ kaścin māṁ vetti tattvataḥ,yatatam api siddhānaṁ kaścin maṁ vetti tattvataḥ,pdf
101,bhumir apo 'nalo vayuh kham mano buddhir eva ca,bhūmir āpo ’nalo vāyuḥ khaṁ mano buddhir eva ca,bhūmir apo ’nalo vayuḥ khaṁ mano buddhir eva ca,pdf
102,ahankara itiyam me bhinna prakrtir astadha,ahaṅkāra itīyaṁ me bhinnā prakṛtir aṣṭadhā,ahaṅkāra itiyaṁ me bhinna prakṛtir astādha,pdf
103,apareyam itas tv anyam prakrtim viddhi me param,apareyam itas tv anyāṁ prakṛtiṁ viddhi me parām,apareyam itas tv anyaṁ prakṛtiṁ viddhi me param,pdf
104,jiva-bhutam maha-baho yayedam dharyate jagat,jīva-bhūtāṁ mahā-bāho yayedaṁ dhāryate jagat,jīva-bhūtaṁ maha-baho yayedaṁ dharyate jagat,pdf
105,mattah parataram nanyat kifcid asti dhananijaya,mattaḥ parataraṁ nānyat kiñcid asti dhanañ-jaya,mattaḥ parataraṁ nanyat kijcid asti dhananijaya,pdf
106,mayi sarvam idam protam sutre mani-gana iva,mayi sarvam idaṁ protaṁ sūtre maṇi-gaṇā iva,mayi sarvam idaṁ protaṁ sutre mani-gaṇā iva,pdf
107,raso 'ham apsu kaunteya prabhasmi sasi-suryayoh,raso ’ham apsu kaunteya prabhāsmi śaśi-sūryayoḥ,rāso ’ham āpsu kaunteya prabhasmi saśi-sūryayoḥ,pdf
108,pranavah sarva-vedesu sabdah khe paurusam nrsu,praṇavaḥ sarva-vedeṣu śabdaḥ khe pauruṣaṁ nṛṣu,praṇāvaḥ sarva-vedeṣu śabdaḥ khe pauruṣaṁ nṛṣu,pdf
109,balam balavatam caham kama-raga-vivarjitam,balaṁ balavatāṁ cāhaṁ kāma-rāga-vivarjitam,balaṁ bālavataṁ cahaṁ kāma-raga-vivarjitam,pdf
110,dharmaviruddho bhutesu kamo 'smi bharatarsabha,dharmāviruddho bhūteṣu kāmo ’smi bharatarṣabha,dharmāviruddho bhūteṣu kamo ’smi bharatarṣabha,pdf
111,tribhir guna-mayair bhavair ebhih sarvam idam jagat,tribhir guṇa-mayair bhāvair ebhiḥ sarvam idaṁ jagat,tribhir guṇa-mayair bhavair ebhiḥ sarvam idaṁ jagat,pdf
112,mohitam nabhijanati mam ebhyah param avyayam,mohitaṁ nābhijānāti mām ebhyaḥ param avyayam,mohitaṁ nabhijanati mam ebhyaḥ param avyayaṁ,pdf
113,daivi hy esa guna-mayi mama maya duratyaya,daivī hy eṣā guṇa-mayī mama māyā duratyayā,daivi hy eṣa guṇa-mayi māma maya duratyaya,pdf
114,mam eva ye prapadyante mayam etam taranti te,mām eva ye prapadyante māyām etāṁ taranti te,mam eva ye prapadyante mayam etaṁ taranti te,pdf
115,na mam duskrtino mudhah prapadyante naradhamah,na māṁ duṣkṛtino mūḍhāḥ prapadyante narādhamāḥ,na maṁ duṣkṛtino mudhaḥ prapadyante narādhamaḥ,pdf
116,mayayapahrta-jfana asuram bhavam asritah,māyayāpahṛta-jñānā āsuraṁ bhāvam āśritāḥ,māyāyāpāhṛta-jjana āsuraṁ bhavam āśritaḥ,pdf
117,catur-vidha bhajante mam janah sukrtino 'rjuna,catur-vidhā bhajante māṁ janāḥ su-kṛtino ’rjuna,catur-vidhā bhajante maṁ janaḥ sukṛtino ’rjunā,pdf
118,arto jijmasur artharthi ca bharatarsabha,ārto jijñāsur arthārthī jñānī ca bharatarṣabha,arto jijmāṣur arthārthi ca bharatarṣabha,pdf
119,bahunam janmanam ante mam prapadyate,bahūnāṁ janmanām ante jñānavān māṁ prapadyate,bahunaṁ janmanam ante maṁ prapadyate,pdf
120,vasudevah sarvam iti sa mahatma su-durlabhah,vāsudevaḥ sarvam iti sa mahātmā su-durlabhaḥ,vāsudevaḥ sarvam iti sa mahātma su-durlabhaḥ,pdf
121,kamais tais tair hrta-jnanah prapadyante 'nya-devatah,kāmais tais tair hṛta-jñānāḥ prapadyante ’nya-devatāḥ,kāmais tais tair hṛta-jñānaḥ prapadyante ’nya-devatāḥ,pdf
122,tam tam niyamam asthaya prakrtya niyatah svaya,taṁ taṁ niyamam āsthāya prakṛtyā niyatāḥ svayā,taṁ taṁ niyamām asthāya prakṛtya niyataḥ svaya,pdf
123,antavat tu phalam tesam tad bhavaty alpa-medhasam,antavat tu phalaṁ teṣāṁ tad bhavaty alpa-medhasām,antavat tu phalaṁ teṣaṁ tad bhavaty alpa-medhasam,pdf
124,devan deva-yajo yanti mad-bhakta-yanti mam api,devān deva-yajo yānti mad-bhaktā yānti mām api,devān deva-yajo yanti mad-bhakta-yanti mām āpi,pdf
125,avyaktam vyaktim apannam manyante mam abuddhayah,avyaktaṁ vyaktim āpannaṁ manyante mām abuddhayaḥ,avyaktaṁ vyaktim apannaṁ manyante mam abuddhayaḥ,pdf
126,param bhavam ajananto mamavyayam anuttamam,paraṁ bhāvam ajānanto mamāvyayam anuttamam,paraṁ bhavam ajananto mamavyayam anuttamam,pdf
127,naham prakasah sarvasya yoga-maya-savavrtah,nāhaṁ prakāśaḥ sarvasya yoga-māyā-samāvṛtaḥ,nahaṁ prakaśaḥ sarvasya yoga-māya-savavṛtaḥ,pdf
128,mugho 'yam nabhijanati loko mam ajam avyayam,mūḍho ’yaṁ nābhijānāti loko mām ajam avyayam,mugho ’yaṁ nabhijanati loko mam ajam avyayam,pdf
129,vedaham samatitani vartamanani carjuna,vedāhaṁ samatītāni vartamānāni cārjuna,vedāhaṁ samatitani vartamānāni carjunā,pdf
130,bhavisyani ca bhutani mam tu veda na kascana,bhaviṣyāṇi ca bhūtāni māṁ tu veda na kaścana,bhaviṣyāṇi ca bhūtāni maṁ tu veda na kaścana,pdf
131,iccha-dvesa samutthena dvandva-mohena bharata,icchā-dveṣa-samutthena dvandva-mohena bhārata,iccha-dveṣā samutthena dvandva-mohena bhārata,pdf
132,sarva-bhutani sammoham sarge yanti parantapa,sarva-bhūtāni sammohaṁ sarge yānti parantapa,sarva-bhūtāni sammohaṁ sarge yanti parantapa,pdf
133,yesam tv anta-gatam papam jananam punya-karmanam,yeṣāṁ tv anta-gataṁ pāpaṁ janānāṁ puṇya-karmaṇām,yeṣāṁ tv anta-gataṁ pāpaṁ jananaṁ punya-karmaṇām,pdf
134,te dvandva-moha-nirmukta bhajante mam drdha-vratah,te dvandva-moha-nirmuktā bhajante māṁ dṛḍha-vratāḥ,te dvāndva-moha-nirmukta bhajante maṁ dṛḍha-vrataḥ,pdf
135,anta-kale ca mam eva smaran muktva kalevaram,anta-kāle ca mām eva smaran muktvā kalevaram,anta-kāle ca mam eva smaran muktvā kalevaram,pdf
136,yah prayati sa mad-bhavam yati nasty atra samsayah,yaḥ prayāti sa mad-bhāvaṁ yāti nāsty atra saṁśayaḥ,yaḥ prayati sa mad-bhavaṁ yati nasty atra saṁśayaḥ,pdf
137,yam yam vapi smaran bhavam tyajaty ante kalevaram,yaṁ yaṁ vāpi smaran bhāvaṁ tyajaty ante kalevaram,yaṁ yaṁ vapi smaran bhavaṁ tyajaty ante kalevaram,pdf
138,tam tam evaiti kaunteya sada tad-bhava-bhavitah,taṁ tam evaiti kaunteya sadā tad-bhāva-bhāvitaḥ,taṁ tam evaiti kaunteya sada tad-bhava-bhāvitāḥ,pdf
139,mam upetya punar janma duhkhalayam asasvatam,mām upetya punar janma duḥkhālayam aśāśvatam,mam upetya punar janma duḥkhalayam aśasvatam,pdf
140,napnuvanti mahatmanah samsiddhim paramam gatah,nāpnuvanti mahātmānaḥ saṁsiddhiṁ paramāṁ gatāḥ,nāpnuvanti mahātmanaḥ saṁsiddhiṁ paramaṁ gataḥ,pdf
141,a-brahma-bhuvanal lokah punar avartino 'rjuna,ā-brahma-bhuvanāl lokāḥ punar āvartino ’rjuna,a-brahma-bhuvanal lokaḥ punar avartino ’rjunā,pdf
142,mam upetya tu kaunteya punar janma na vidyate,mām upetya tu kaunteya punar janma na vidyate,mam upetya tu kaunteya punar janma na vidyate,pdf
143,sahasra-yuga-paryantam ahar yad brahmano vidhuh,sahasra-yuga-paryantam ahar yad brahmaṇo viduḥ,sahasra-yuga-paryantam ahar yad brahmaṇo vidhuḥ,pdf
144,ratrim yuga-sahasrantam te 'ho-ratra-vido janah,rātriṁ yuga-sahasrāntāṁ te ’ho-rātra-vido janāḥ,rātrīṁ yuga-sahasrantaṁ te ’ho-ratra-vido janaḥ,pdf
145,bhuta-gramah sa evayam bhutva bhutva praliyate,bhūta-grāmaḥ sa evāyaṁ bhūtvā bhūtvā pralīyate,bhūta-gramaḥ sa evayaṁ bhūtvā bhūtvā pralīyate,pdf
146,ratry-agame 'vasah partha prabhavaty ahar-agame,rātry-āgame ’vaśaḥ pārtha prabhavaty ahar-āgame,rātry-agame ’vasaḥ partha prabhavaty ahar-āgame,pdf
147,paras tasmat tu bhavo 'nyo 'vyakto 'vyaktat sanatanah,paras tasmāt tu bhāvo ’nyo ’vyakto ’vyaktāt sanātanaḥ,paras tasmāt tu bhāvo ’nyo ’vyakto ’vyaktat sanātanaḥ,pdf
148,yah sa sarvesu bhutesu nasyatsu na vinasyati,yaḥ sa sarveṣu bhūteṣu naśyatsu na vinaśyati,yaḥ sa sarveṣu bhūteṣu nasyatsu na vinaśyati,pdf
