ids,sentences,OCR
1.1.10.1,prāyeṇālpāyuṣaḥ sabhya,prayenalpayusah sabhya
1.1.10.2,kalāv asmin yuge janāḥ,kalav asmin yuge janah
1.1.10.3,mandāḥ sumanda-matayo,mandah sumanda-matayo
1.1.10.4,manda-bhāgyā hy upadrutāḥ,manda-bhagya hy upadrutah
1.1.11.1,bhūrīṇi bhūri-karmāṇi,bhurini bhari-karmani
1.1.11.2,śrotavyāni vibhāgaśaḥ,Ssrotavyani vibhagasah
1.1.11.3,ataḥ sādho ’tra yat sāraṁ,atah sadho 'tra yat saram
1.1.11.4,samuddhṛtya manīṣayā,samuddhrtya manisaya
1.1.11.5,brūhi bhadrāya bhūtānām,bruhi bhadraya bhuatanam
1.1.11.6,yenātmā suprasīdati,yenatma suprasidati
1.1.12.1,sūta jānāsi bhadraṁ te,suta janasi bhadram te
1.1.12.2,bhagavān sātvatāṁ patiḥ,bhagavan satvatam patih
1.1.12.3,devakyāṁ vasudevasya,devakyam vasudevasya
1.1.12.4,jāto yasya cikīrṣayā,jato yasya cikirsaya
1.1.13.1,tan naḥ śuśrūṣamāṇānām,tan nah sugsrusamananam
1.1.13.2,arhasy aṅgānuvarṇitum,arhasy anganuvarnitum
1.1.13.3,yasyāvatāro bhūtānāṁ,yasyavataro bhutanam
1.1.13.4,kṣemāya ca bhavāya ca,ksemaya ca bhavaya ca
1.1.14.1,āpannaḥ saṁsṛtiṁ ghorāṁ,apannah samsrtim ghoram
1.1.14.2,yan-nāma vivaśo gṛṇan,yan-nama vivaso grnan
1.1.14.3,tataḥ sadyo vimucyeta,tatah sadyo vimucyeta
1.1.14.4,yad bibheti svayaṁ bhayam,yad bibheti svayam bhayam
1.1.15.1,yat-pāda-saṁśrayāḥ sūta,suta
1.1.15.2,munayaḥ praśamāyanāḥ,munayah prasgamayanah
1.1.15.3,sadyaḥ punanty upaspṛṣṭāḥ,sadyah punanty upasprstah
1.1.15.4,svardhuny-āpo ’nusevayā,svardhuny-apo 'nusevaya
1.1.16.1,ko vā bhagavatas tasya,ko va bhagavatas tasya
1.1.16.2,puṇya-ślokeḍya-karmaṇaḥ,punya-Slokedya-karmanah
1.1.16.3,śuddhi-kāmo na śṛṇuyād,suddhi-kamo na srnuyad
1.1.16.4,yaśaḥ kali-malāpaham,yasah kali-malapaham
1.1.17.1,tasya karmāṇy udārāṇi,tasya karmany udarani
1.1.17.2,parigītāni sūribhiḥ,parigitani suribhih
1.1.17.3,brūhi naḥ śraddadhānānāṁ,bruhi nah sraddadhananam
1.1.17.4,līlayā dadhataḥ kalāḥ,lilaya dadhatah kalah
1.1.18.1,athākhyāhi harer dhīmann,athakhyahi harer dhimann
1.1.18.2,avatāra-kathāḥ śubhāḥ,avatara-kathah subhah
1.1.18.3,līlā vidadhataḥ svairam,lila vidadhatah svairam
1.1.18.4,īśvarasyātma-māyayā,isvarasyatma-mayaya
1.1.19.1,vayaṁ tu na vitṛpyāma,vayam tu na vitrpyama
1.1.19.2,uttama-śloka-vikrame,uttama-sloka-vikrame
1.1.19.3,yac-chṛṇvatāṁ rasa-jñānāṁ,yac-chrnvatam rasa-jnanam
1.1.19.4,svādu svādu pade pade,svadu svadu pade pade
1.1.20.1,kṛtavān kila karmāṇi,krtavan kila karmani
1.1.20.2,saha rāmeṇa keśavaḥ,saha ramena kesavah
1.1.20.3,atimartyāni bhagavān,atimartyani bhagavan
1.1.20.4,gūḍhaḥ kapaṭa-mānuṣaḥ,gudhah kapata-manusah
1.1.21.1,kalim āgatam ājñāya,kalim agatam ajnaya
1.1.21.2,kṣetre ’smin vaiṣṇave vayam,ksetre 'smin vaisnave vayam
1.1.21.3,āsīnā dīrgha-satreṇa,asina dirgha-satrena
1.1.21.4,kathāyāṁ sakṣaṇā hareḥ,kathayam saksana hareh
1.1.22.1,tvaṁ naḥ sandarśito dhātrā,tvam nah sandarsito dhatra
1.1.22.2,dustaraṁ nistitīrṣatām,dustaram nistitirsatam
1.1.22.3,kaliṁ sattva-haraṁ puṁsāṁ,kalim sattva-haram pumsam
1.1.22.4,karṇa-dhāra ivārṇavam,karna-dhara ivarnavam
1.1.23.1,brūhi yogeśvare kṛṣṇe,bruhi yogesvare krsne
1.1.23.2,brahmaṇye dharma-varmaṇi,brahmanye dharma-varmani
1.1.23.3,svāṁ kāṣṭhām adhunopete,svam kastham adhunopete
1.1.23.4,dharmaḥ kaṁ śaraṇaṁ gataḥ,dharmah kam saranam gatah
1.2.1.1,vyāsa uvāca,vyasa uvaca
1.2.2.1,sūta uvāca,suta uvaca
1.2.3.1,yaḥ svānubhāvam akhila-śruti-sāram ekam,yah svanubhavam akhila-sruti-saram ekam
1.2.3.2,adhyātma-dīpam atititīrṣatāṁ tamo ’ndham,adhyatma-dipam atititirsatam tamo 'ndham
1.2.3.3,saṁsāriṇāṁ karuṇayāha purāṇa-guhyaṁ,samsarinam karunayaha purana-guhyam
1.2.3.4,taṁ vyāsa-sūnum upayāmi guruṁ munīnām,tam vyasa-sunum upayami gurum muninam
1.2.4.1,nārāyaṇaṁ namaskṛtya,narayanam namaskrtya
1.2.4.2,naraṁ caiva narottamam,naram caiva narottamam
1.2.4.3,devīṁ sarasvatīṁ vyāsaṁ,devim sarasvatim vyasam
1.2.4.4,tato jayam udīrayet,tato jayam udirayet
1.2.5.1,munayaḥ sādhu pṛṣṭo ’haṁ,munayah sadhu prsto 'ham
1.2.5.2,bhavadbhir loka-maṅgalam,bhavadbhir loka-mangalam
1.2.5.3,yat kṛtaḥ kṛṣṇa-sampraśno,yat krtah krsna-samprasno
1.2.5.4,yenātmā suprasīdati,yenatma suprasidati
1.2.6.1,sa vai puṁsāṁ paro dharmo,sa vai pumsam paro dharmo
1.2.6.2,yato bhaktir adhokṣaje,yato bhaktir adhoksaje
1.2.6.3,ahaituky apratihatā,ahaituky apratihata
1.2.6.4,yayātmā suprasīdati,yayatma suprasidati
1.2.7.1,vāsudeve bhagavati,vasudeve bhagavati
1.2.7.2,bhakti-yogaḥ prayojitaḥ,bhakti-yogah prayojitah
1.2.7.3,janayaty āśu vairāgyaṁ,janayaty asu vairagyam
1.2.7.4,jñānaṁ ca yad ahaitukam,inanam ca yad ahaitukam
1.2.8.1,dharmaḥ svanuṣṭhitaḥ puṁsāṁ,dharmah svanusthitah pumsam
1.2.8.2,viṣvaksena-kathāsu yaḥ,visvaksena-kathasu yah
1.2.8.3,notpādayed yadi ratiṁ,notpadayed yadi ratim
1.2.8.4,śrama eva hi kevalam,Ssrama eva hi kevalam
1.2.9.1,dharmasya hy āpavargyasya,dharmasya hy apavargyasya
1.2.9.2,nārtho ’rthāyopakalpate,nartho 'rthayopakalpate
1.2.9.3,nārthasya dharmaikāntasya,narthasya dharmaikantasya
1.2.9.4,kāmo lābhāya hi smṛtaḥ,kamo labhaya hi smrtah
1.2.10.1,kāmasya nendriya-prītir,kamasya nendriya-pritir
1.2.10.2,lābho jīveta yāvatā,labho jiveta yavata
1.2.10.3,jīvasya tattva-jijñāsā,jivasya tattva-jijnasa
1.2.10.4,nārtho yaś ceha karmabhiḥ,nartho yas ceha karmabhih
1.2.11.1,vadanti tat tattva-vidas,vadanti tat tattva-vidas
1.2.11.2,tattvaṁ yaj jñānam advayam,tattvam yaj jinanam advayam
1.2.11.3,brahmeti paramātmeti,brahmeti paramatmeti
1.2.11.4,bhagavān iti śabdyate,bhagavan iti sabdyate
1.2.12.1,tac chraddadhānā munayo,tac chraddadhana munayo
1.2.12.2,jñāna-vairāgya-yuktayā,nana-vairagya-yuktaya
1.2.12.3,paśyanty ātmani cātmānaṁ,pasyanty atmani catmanam
1.2.12.4,bhaktyā śruta-gṛhītayā,bhaktya sruta-grhitaya
1.2.13.1,ataḥ pumbhir dvija-śreṣṭhā,atah pumbhir dvija-Srestha
1.2.13.2,varṇāśrama-vibhāgaśaḥ,varnasrama-vibhagasah
1.2.13.3,svanuṣṭhitasya dharmasya,svanusthitasya dharmasya
1.2.13.4,saṁsiddhir hari-toṣaṇam,samsiddhir hari-tosanam
1.2.14.1,tasmād ekena manasā,tasmad ekena manasa
1.2.14.2,bhagavān sātvatāṁ patiḥ,bhagavan satvatam patih
1.2.14.3,śrotavyaḥ kīrtitavyaś ca,Srotavyah kirtitavyas ca
1.2.14.4,dhyeyaḥ pūjyaś ca nityadā,dhyeyah pujyas ca nityada
1.2.15.1,yad-anudhyāsinā yuktāḥ,yad-anudhyasina yuktah
1.2.15.2,karma-granthi-nibandhanam,karma-granthi-nibandhanam
1.2.15.3,chindanti kovidās tasya,chindanti kovidas tasya
1.2.15.4,ko na kuryāt kathā-ratim,ko na kuryat katha-ratim
1.2.16.1,śuśrūṣoḥ śraddadhānasya,Ssusrusoh sraddadhanasya
1.2.16.2,vāsudeva-kathā-ruciḥ,vasudeva-katha-rucih
1.2.16.3,syān mahat-sevayā viprāḥ,syan mahat-sevaya viprah
1.2.16.4,puṇya-tīrtha-niṣevaṇāt,punya-tirtha-nisevanat
1.2.17.1,śṛṇvatāṁ sva-kathāḥ kṛṣṇaḥ,sravatam sva-kathah krsnah
1.2.17.2,puṇya-śravaṇa-kīrtanaḥ,punya-Ssravana-kirtanah
1.2.17.3,hṛdy antaḥ stho hy abhadrāṇi,hrdy antah stho hy abhadrani
1.2.17.4,vidhunoti suhṛt satām,vidhunoti suhrt satam
1.2.18.1,naṣṭa-prāyeṣv abhadreṣu,nasta-prayesv abhadresu
1.2.18.2,nityaṁ bhāgavata-sevayā,nityam bhagavata-sevaya
1.2.18.3,bhagavaty uttama-śloke,bhagavaty uttama-sloke
1.2.18.4,bhaktir bhavati naiṣṭhikī,bhaktir bhavati naisthik
1.2.19.1,tadā rajas-tamo-bhāvāḥ,tada rajas-tamo-bhavah
1.2.19.2,kāma-lobhādayaś ca ye,kama-lobhadayas ca ye
1.2.19.3,ceta etair anāviddhaṁ,ceta etair anaviddham
1.2.19.4,sthitaṁ sattve prasīdati,sthitam sattve prasidati
1.2.20.1,evaṁ prasanna-manaso,evam prasanna-manaso
1.2.20.2,bhagavad-bhakti-yogataḥ,bhagavad-bhakti-yogatah
1.2.20.3,bhagavat-tattva-vijñānaṁ,bhagavat-tattva-vijnanam
1.2.20.4,mukta-saṅgasya jāyate,mukta-sangasya jayate
1.2.21.1,bhidyate hṛdaya-granthiś,bhidyate hrdaya-granthis
1.2.21.2,chidyante sarva-saṁśayāḥ,chidyante sarva-samsayah
1.2.21.3,kṣīyante cāsya karmāṇi,kstyante casya karmani
1.2.21.4,dṛṣṭa evātmanīśvare,drsta evatmanisvare
1.2.22.1,ato vai kavayo nityaṁ,ato vai kavayo nityam
1.2.22.2,bhaktiṁ paramayā mudā,bhaktim paramaya muda
1.2.22.3,vāsudeve bhagavati,vasudeve bhagavati
1.2.22.4,kurvanty ātma-prasādanīm,kurvanty atma-prasadanim
1.2.23.1,sattvaṁ rajas tama iti prakṛter guṇās tair,sattvam rajas tama iti prakrter gunas tair
1.2.23.2,yuktaḥ paraḥ puruṣa eka ihāsya dhatte,yuktah parah purusa eka ihasya dhatte
1.2.23.3,sthity-ādaye hari-viriñci-hareti saṁjñāḥ,sthity-adaye hari-virinci-hareti samjnah
1.2.23.4,śreyāṁsi tatra khalu sattva-tanor nṛṇāṁ syuḥ,Sreyamsi tatra khalu sattva-tanor nrnam syuh
1.2.24.1,pārthivād dāruṇo dhūmas,parthivad daruno dhumas
1.2.24.2,tasmād agnis trayīmayaḥ,tasmad agnis trayimayah
1.2.24.3,tamasas tu rajas tasmāt,tamasas tu rajas tasmat
1.2.24.4,sattvaṁ yad brahma-darśanam,sattvam yad brahma-darsanam
1.2.25.1,bhejire munayo ’thāgre,bhejire munayo 'thagre
1.2.25.2,bhagavantam adhokṣajam,bhagavantam adhoksajam
1.2.25.3,sattvaṁ viśuddhaṁ kṣemāya,sattvam visuddham ksemaya
1.2.25.4,kalpante ye ’nu tān iha,kalpante ye 'nu tan tha
1.2.26.1,mumukṣavo ghora-rūpān,mumuksavo ghora-rupan
1.2.26.2,hitvā bhūta-patīn atha,hitva bhuta-patin atha
1.2.26.3,nārāyaṇa-kalāḥ śāntā,narayana-kalah santa
1.2.26.4,bhajanti hy anasūyavaḥ,bhajanti hy anasuyavah
1.2.27.1,rajas-tamaḥ-prakṛtayaḥ,rajas-tamah-prakrtayah
1.2.27.2,sama-śīlā bhajanti vai,sama-Sila bhajanti vai
1.2.27.3,pitṛ-bhūta-prajeśādīn,pitr-bhata-prajesadin
1.2.27.4,śriyaiśvarya-prajepsavaḥ,Sriyaisvarya-prajepsavah
1.2.28-29.1,vāsudeva-parā vedā,vasudeva-para veda
1.2.28-29.2,vāsudeva-parā makhāḥ,vasudeva-para makhah
1.2.28-29.3,vāsudeva-parā yogā,vasudeva-para yoga
1.2.28-29.4,vāsudeva-parāḥ kriyāḥ,vasudeva-parah kriyah
1.2.30.1,sa evedaṁ sasarjāgre,sa evedam sasarjagre
1.2.30.2,bhagavān ātma-māyayā,bhagavan atma-mayaya
1.2.30.3,sad-asad-rūpayā cāsau,sad-asad-rupaya casau
1.2.30.4,guṇamayāguṇo vibhuḥ,gunamayaguno vibhuh
1.2.31.1,tayā vilasiteṣv eṣu,taya vilasitesyv esu
1.2.31.2,guṇeṣu guṇavān iva,gunesu gunavan iva
1.2.31.3,antaḥ-praviṣṭa ābhāti,antah-pravista abhati
1.2.31.4,vijñānena vijṛmbhitaḥ,viinanena vijrmbhitah
1.2.32.1,yathā hy avahito vahnir,yatha hy avahito vahnir
1.2.32.2,dāruṣv ekaḥ sva-yoniṣu,darusy ekah sva-yonisu
1.2.32.3,nāneva bhāti viśvātmā,naneva bhati visvatma
1.2.32.4,bhūteṣu ca tathā pumān,bhutesu ca tatha puman
1.2.33.1,asau guṇamayair bhāvair,asau gunamayair bhavair
1.2.33.2,bhūta-sūkṣmendriyātmabhiḥ,bhuata-suksmendriyatmabhih
1.2.33.3,sva-nirmiteṣu nirviṣṭo,sva-nirmitesu nirvisto
1.2.33.4,bhuṅkte bhūteṣu tad-guṇān,bhunkte bhUatesu tad-gunan
1.2.34.1,bhāvayaty eṣa sattvena,bhavayaty esa sattvena
1.2.34.2,lokān vai loka-bhāvanaḥ,lokan vai loka-bhavanah
1.2.34.3,līlāvatārānurato,lilavataranurato
1.2.34.4,deva-tiryaṅ-narādiṣu,deva-tiryan-naradisu
1.3.1.1,sūta uvāca,suta uvaca
1.3.2.1,yasyāmbhasi śayānasya,yasyambhasi sayanasya
1.3.2.2,yoga-nidrāṁ vitanvataḥ,yoga-nidram vitanvatah
1.3.2.3,nābhi-hradāmbujād āsīd,nabhi-hradambyjad asid
1.3.2.4,brahmā viśva-sṛjāṁ patiḥ,brahma patih
1.3.3.1,yasyāvayava-saṁsthānaiḥ,yasyavayava-samsthanaih
1.3.3.2,kalpito loka-vistaraḥ,kalpito loka-vistarah
1.3.3.3,tad vai bhagavato rūpaṁ,tad vai bhagavato rupam
1.3.3.4,viśuddhaṁ sattvam ūrjitam,visuddham sattvam urjitam
1.3.4.1,paśyanty ado rūpam adabhra-cakṣuṣā,pasyanty ado rupam adabhra-caksusa
1.3.4.2,sahasra-pādoru-bhujānanādbhutam,sahasra-padoru-bhujananadbhutam
1.3.4.3,sahasra-mūrdha-śravaṇākṣi-nāsikaṁ,sahasra-murdha-sravanaksi-nasikam
1.3.4.4,sahasra-mauly-ambara-kuṇḍalollasat,sahasra-mauly-ambara-kundalollasat
1.3.5.1,etan nānāvatārāṇāṁ,etan nanavataranam
1.3.5.2,nidhānaṁ bījam avyayam,nidhanam bjam avyayam
1.3.5.3,yasyāṁśāṁśena sṛjyante,yasyamsamsena srjyante
1.3.5.4,deva-tiryaṅ-narādayaḥ,deva-tiryan-naradayah
1.3.6.1,sa eva prathamaṁ devaḥ,sa eva prathamam devah
1.3.6.2,kaumāraṁ sargam āśritaḥ,kaumaram sargam asritah
1.3.6.3,cacāra duścaraṁ brahmā,cacara duscaram brahma
1.3.6.4,brahmacaryam akhaṇḍitam,brahmacaryam akhanditam
1.3.7.1,dvitīyaṁ tu bhavāyāsya,dvittyam tu bhavayasya
1.3.7.2,rasātala-gatāṁ mahīm,rasatala-gatam mahim
1.3.7.3,uddhariṣyann upādatta,uddharisyann upadatta
1.3.7.4,yajñeśaḥ saukaraṁ vapuḥ,yajnesah saukaram vapuh
1.3.8.1,tṛtīyam ṛṣi-sargaṁ vai,trttyam rsi-sargam vai
1.3.8.2,devarṣitvam upetya saḥ,devarsitvam upetya sah
1.3.8.3,tantraṁ sātvatam ācaṣṭa,tantram satvatam acasta
1.3.8.4,naiṣkarmyaṁ karmaṇāṁ yataḥ,naiskarmyam karmanam yatah
1.3.9.1,turye dharma-kalā-sarge,turye dharma-kala-sarge
1.3.9.2,nara-nārāyaṇāv ṛṣī,nara-narayanay rs]
1.3.9.3,bhūtvātmopaśamopetam,bhutvatmopasamopetam
1.3.9.4,akarot duścaraṁ tapaḥ,akarot duscaram tapah
1.3.10.1,pañcamaḥ kapilo nāma,pancamah kapilo nama
1.3.10.2,siddheśaḥ kāla-viplutam,siddhesah kala-viplutam
1.3.10.3,provācāsuraye sāṅkhyaṁ,provacasuraye sankhyam
1.3.10.4,tattva-grāma-vinirṇayam,tattva-grama-vinirnayam
1.3.11.1,ṣaṣṭham atrer apatyatvaṁ,sastham atrer apatyatvam
1.3.11.2,vṛtaḥ prāpto ’nasūyayā,vrtah prapto 'nasuyaya
1.3.11.3,ānvīkṣikīm alarkāya,anviksikim alarkaya
1.3.11.4,prahlādādibhya ūcivān,prahladadibhya ucivan
1.3.12.1,tataḥ saptama ākūtyāṁ,tatah saptama akutyam
1.3.12.2,rucer yajño ’bhyajāyata,rucer yajno 'bhyajayata
1.3.12.3,sa yāmādyaiḥ sura-gaṇair,sa yamadyaih sura-ganair
1.3.12.4,apāt svāyambhuvāntaram,apat svayambhuvantaram
1.3.13.1,aṣṭame merudevyāṁ tu,astame merudevyam tu
1.3.13.2,nābher jāta urukramaḥ,nabher jata urukramah
1.3.13.3,darśayan vartma dhīrāṇāṁ,darsayan vartma dhiranam
1.3.13.4,sarvāśrama-namaskṛtam,sarvasrama-namaskrtam
1.3.14.1,ṛṣibhir yācito bheje,rsibhir yacito bheje
1.3.14.2,navamaṁ pārthivaṁ vapuḥ,navamam parthivam vapuh
1.3.14.3,dugdhemām oṣadhīr viprās,dugdhemam osadhir vipras
1.3.14.4,tenāyaṁ sa uśattamaḥ,tenayam sa usattamah
1.3.15.1,rūpaṁ sa jagṛhe mātsyaṁ,rupam sa jagrhe matsyam
1.3.15.2,cākṣuṣodadhi-samplave,caksusodadhi-samplave
1.3.15.3,nāvy āropya mahī-mayyām,navy aropya mahi-mayyam
1.3.15.4,apād vaivasvataṁ manum,apad vaivasvatam manum
1.3.16.1,surāsurāṇām udadhiṁ,surasuranam udadhim
1.3.16.2,mathnatāṁ mandarācalam,mathnatam mandaracalam
1.3.16.3,dadhre kamaṭha-rūpeṇa,dadhre kamatha-rupena
1.3.16.4,pṛṣṭha ekādaśe vibhuḥ,prstha ekadase vibhuh
1.3.17.1,dhānvantaraṁ dvādaśamaṁ,dhanvantaram dvadasamam
1.3.17.2,trayodaśamam eva ca,trayodasamam eva ca
1.3.17.3,apāyayat surān anyān,apayayat suran anyan
1.3.17.4,mohinyā mohayan striyā,mohinya mohayan striya
1.3.18.1,caturdaśaṁ nārasiṁhaṁ,caturdasam narasimham
1.3.18.2,bibhrad daityendram ūrjitam,bibhrad daityendram urjitam
1.3.18.3,dadāra karajair ūrāv,dadara karajair urav
1.3.18.4,erakāṁ kaṭa-kṛd yathā,erakam kata-krd yatha
1.3.19.1,pañcadaśaṁ vāmanakaṁ,pancadasam vamanakam
1.3.19.2,kṛtvāgād adhvaraṁ baleḥ,krtvagad adhvaram baleh
1.3.19.3,pada-trayaṁ yācamānaḥ,pada-trayam yacamanah
1.3.19.4,pratyāditsus tri-piṣṭapam,pratyaditsus tri-pistapam
1.3.20.1,avatāre ṣoḍaśame,avatare sodasame
1.3.20.2,paśyan brahma-druho nṛpān,pasyan brahma-druho nrpan
1.3.20.3,triḥ-sapta-kṛtvaḥ kupito,trih-sapta-krtvah kupito
1.3.20.4,niḥ-kṣatrām akaron mahīm,nih-ksatram akaron mahim
1.3.21.1,tataḥ saptadaśe jātaḥ,tatah saptadase jatah
1.3.21.2,satyavatyāṁ parāśarāt,satyavatyam parasarat
1.3.21.3,cakre veda-taroḥ śākhā,cakre veda-taroh sakha
1.3.21.4,dṛṣṭvā puṁso ’lpa-medhasaḥ,drstva pumso 'Ipa-medhasah
1.3.22.1,nara-devatvam āpannaḥ,nara-devatvam apannah
1.3.22.2,sura-kārya-cikīrṣayā,sura-karya-cikirsaya
1.3.22.3,samudra-nigrahādīni,samudra-nigrahadini
1.3.22.4,cakre vīryāṇy ataḥ param,cakre viryany atah param
1.3.23.1,ekonaviṁśe viṁśatime,ekonavimse vimsatime
1.3.23.2,vṛṣṇiṣu prāpya janmanī,vrsnisu prapya janmanl
1.3.23.3,rāma-kṛṣṇāv iti bhuvo,rama-krsnayv iti bhuvo
1.3.23.4,bhagavān aharad bharam,bhagavan aharad bharam
1.3.24.1,tataḥ kalau sampravṛtte,tatah kalau sampravrtte
1.3.24.2,sammohāya sura-dviṣām,sammohaya sura-dvisam
1.3.24.3,buddho nāmnāñjana-sutaḥ,buddho namnanjana-sutah
1.3.24.4,kīkaṭeṣu bhaviṣyati,Kikatesu bhavisyati
1.3.25.1,athāsau yuga-sandhyāyāṁ,athasau yuga-sandhyayam
1.3.25.2,dasyu-prāyeṣu rājasu,dasyu-prayesu rajasu
1.3.25.3,janitā viṣṇu-yaśaso,janita visnu-yasaso
1.3.25.4,nāmnā kalkir jagat-patiḥ,namna kalkir jagat-patih
1.3.26.1,avatārā hy asaṅkhyeyā,avatara hy asankhyeya
1.3.26.2,hareḥ sattva-nidher dvijāḥ,hareh sattva-nidher dvijah
1.3.26.3,yathāvidāsinaḥ kulyāḥ,yathavidasinah kulyah
1.3.26.4,sarasaḥ syuḥ sahasraśaḥ,sarasah syuh sahasrasah
1.3.27.1,ṛṣayo manavo devā,rsayo manavo deva
1.3.27.2,manu-putrā mahaujasaḥ,manu-putra mahauyjasah
1.3.27.3,kalāḥ sarve harer eva,kalah sarve harer eva
1.3.27.4,saprajāpatayaḥ smṛtāḥ,saprajapatayah smrtah
1.3.28.1,ete cāṁśa-kalāḥ puṁsaḥ,ete cam§sa-kalah pumsah
1.3.28.2,kṛṣṇas tu bhagavān svayam,krsnas tu bhagavan svayam
1.3.28.3,indrāri-vyākulaṁ lokaṁ,indrari-vyakulam lokam
1.3.28.4,mṛḍayanti yuge yuge,mrdayanti yuge yuge
1.3.29.1,janma guhyaṁ bhagavato,anma guhyam bhagavato
1.3.29.2,ya etat prayato naraḥ,ya etat prayato narah
1.3.29.3,sāyaṁ prātar gṛṇan bhaktyā,sayam pratar grnan bhaktya
1.3.29.4,duḥkha-grāmād vimucyate,duhkha-gramad vimucyate
1.3.30.1,etad rūpaṁ bhagavato,etad rupam bhagavato
1.3.30.2,hy arūpasya cid-ātmanaḥ,hy arupasya cid-atmanah
1.3.30.3,māyā-guṇair viracitaṁ,maya-gunair viracitam
1.3.30.4,mahadādibhir ātmani,mahadadibhir atmani
1.3.31.1,yathā nabhasi meghaugho,yatha nabhasi meghaugho
1.3.31.2,reṇur vā pārthivo ’nile,renur va parthivo 'nile
1.3.31.3,evaṁ draṣṭari dṛśyatvam,evam drastari dréyatvam
1.3.31.4,āropitam abuddhibhiḥ,aropitam abuddhibhih
1.3.32.1,ataḥ paraṁ yad avyaktam,atah param yad avyaktam
1.3.32.2,avyūḍha-guṇa-bṛṁhitam,avyudha-guna-brmhitam
1.3.32.3,adṛṣṭāśruta-vastutvāt,adrstasruta-vastutvat
1.3.32.4,sa jīvo yat punar-bhavaḥ,sa jivo yat punar-bhavah
1.3.33.1,yatreme sad-asad-rūpe,yatreme sad-asad-rupe
1.3.33.2,pratiṣiddhe sva-saṁvidā,pratisiddhe sva-samvida
1.3.33.3,avidyayātmani kṛte,avidyayatmani krte
1.3.33.4,iti tad brahma-darśanam,iti tad brahma-darsanam
1.3.34.1,yady eṣoparatā devī,yady esoparata devi
1.3.34.2,māyā vaiśāradī matiḥ,maya vaisaradt matih
1.3.34.3,sampanna eveti vidur,sampanna eveti vidur
1.3.34.4,mahimni sve mahīyate,mahimni sve mahiyate
1.3.35.1,evaṁ janmāni karmāṇi,evam janmani karmani
1.3.35.2,hy akartur ajanasya ca,hy akartur ajanasya ca
1.3.35.3,varṇayanti sma kavayo,varnayanti sma kavayo
1.3.35.4,veda-guhyāni hṛt-pateḥ,veda-guhyani hrt-pateh
1.3.36.1,sa vā idaṁ viśvam amogha-līlaḥ,sa va idam visvam amogha-lilah
1.3.36.2,sṛjaty avaty atti na sajjate ’smin,srjaty avaty atti na sajjate 'smin
1.3.36.3,bhūteṣu cāntarhita ātma-tantraḥ,bhutesu cantarhita atma-tantrah
